ref,name,official_name,distance
Т-24-06,М-05 – Маньківка – Іваньки – Буки,/М-05/ — Маньківка — Іваньки — Буки,27.6
Т-24-07,Н-01 – Кам’янка,/Н-01/ — Кам’янка,2.2
Т-24-08,Шевченкове – Городище – Н-16,Шевченкове — Городище — /Н-16/,59.8
Т-24-09,М-03 – Драбів – Золотоноша,/М-03/ — Драбів — Золотоноша,64.6
Т-24-10,Т-24-09 – Свічківка – Гребінка,/Т-24-09/ — Свічківка — Гребінка,13.3
Т-24-11,Звенигородка – Катеринопіль – Тальне – Маньківка,Звенигородка — Катеринопіль — Тальне — Маньківка,58.2
Т-24-12,Софіївка – Драбів,Софіївка — Драбів,34.6
Т-24-13,Катеринопіль – Вікнине – Шпола,Катеринопіль — Вікнине — Шпола,30.2
Т-24-14,Сміла – Ташлик – Капітанівка – Новомиргород,Сміла — Ташлик — Капітанівка — Новомиргород,50
Т-24-15,Тальне – Кам’янече – Нерубайка – Голованівськ – Благовіщенське,Тальне — Кам’янече — Нерубайка — Голованівськ — Благовіщенське,96.5
Т-24-16,М-30 – Сушківка – Вільшана – Слобідка – Рогова – Перегонівка,/М-30/ — Сушківка — Вільшана — Слобідка — Рогова — Перегонівка,30.2
Т-24-17,Н-08 – Чорнобай – Хрестителеве – кордон Полтавської області,/Н-08/ — Чорнобай — Хрестителеве — кордон Полтавської області,30.3
Т-24-18,Н-16 – Сміла – Н-01,/Н-16/ — Сміла — /Н-01/,2
Т-24-19,Звенигородка – Ватутіне,Звенигородка — Ватутіне,8.2
Т-25-01,М-01 – Олишівка – Куликівка,/М-01/ — Олишівка — Куликівка,35.7
Т-25-03,Вільне – Кролевець,Вільне — Кролевець,25.3
Т-25-06,Чернігів – Любеч,Чернігів — Любеч,43.3
Т-25-07,М-01 – Добрянка,/М-01 /— Добрянка,12.1
Т-25-13,Козелець – Козари – Носівка,Козелець — Козари — Носівка,37.7
Т-25-14,Ніжин – Бахмач – Дмитрівка,Ніжин — Бахмач — Дмитрівка,101.2
Т-25-15,Р-68 – Дмитрівка – Харкове,/Р-68/ — Дмитрівка — Харкове,54.1
Т-25-17,Короп – Нехаївка – Шабалинів,Короп — Нехаївка — Шабалинів,23.4
Т-25-18,Контрольно-пропускний пункт “Хрінівка” – Камка,Контрольно-пропускний пункт “Хрінівка” — Камка,33.4
Т-25-19,Холми – Авдіївка – Оболоння,Холми — Авдіївка — Оболоння,36.9
Т-25-21,Сосниця – Шаповалівка,Сосниця — Шаповалівка,32
Т-25-23,Борзна – Стрільники – Бахмач,Борзна — Стрільники — Бахмач,30.2
Т-25-24,Борзна – Ічня – Прилуки,Борзна — Ічня — Прилуки,69.5
Т-25-25,М-02 – Носівка,/М-02/ — Носівка,22.9
Т-25-26,Ніжин – Бобровиця – Нова Басань,Ніжин — Бобровиця — Нова Басань,71.3
Т-25-27,Бобровиця – Свидовець – Новий Биків – Ічня,Бобровиця — Свидовець — Новий Биків — Ічня,89.2
Т-25-28,Козелець – Марківці – Бобровиця,Козелець — Марківці — Бобровиця,33.4
Т-25-30,Прилуки – Варва – Срібне – Обухове,Прилуки — Варва — Срібне — Обухове,77.1
Т-25-31,М-02 – станція Бахмач,/М-02/ —  станція Бахмач,12.3
Т-25-32,Корюківка – Матвіївка – Сосниця,Корюківка — Матвіївка — Сосниця,36.2
Т-25-34,Корюківка – Синявка – Блистова – Мена,Корюківка — Синявка — Блистова — Мена,83.7
Т-25-35,Козелець – Карпилівка – Сорокошичі,Козелець — Карпилівка — Сорокошичі,55
Т-25-36,Корюківка – Сахутівка – Мена,Корюківка — Сахутівка — Мена,25.5
Т-25-38,Р-67 – Макіївка – Журавка,/Р-67/ — Макіївка — Журавка,13.4
Т-25-39,Н-27 – Покошичі – Мезин – Курилівка,/Н-27/— Покошичі — Мезин — Курилівка,21.2
Т-25-41,Новий Биків – Згурівка – Яготин,Новий Биків — Згурівка — Яготин,47.1
Т-25-42,Мена – Макошине,Мена — Макошине,10.4
Т-25-43,Мена – санаторій “Остреч”,Мена — санаторій “Остреч”,2.5
Т-25-44,Березна – Миколаївка,Березна — Миколаївка,14.6
Т-25-45,Ічня – Буди,Ічня — Буди,13.8
Т-25-46,Варва – Гнідинці,Варва — Гнідинці,7.1
Т-25-47,М-01 – Ладинка,/М-01/ — Ладинка,8
Т-25-48,Сновськ – Єліне,Сновськ — Єліне,24.3
Т-25-49,Козелець – Данівка,Козелець — Данівка,7.1
Т-25-50,Н-27 – Орлівка,/Н-27/ — Орлівка,9.1
Т-25-51,М-02 – Заньки,/М-02/ — Заньки,5.9
Т-25-52,Борзна – Комарівка – М-02,Борзна — Комарівка — /М-02/,24.8
Т-25-53,Красилівка – Надинівка,Красилівка — Надинівка,10.9
Т-25-54,М-01 – Олешня,/М-01/ — Олешня,8.2
Т-25-55,Н-27 – Вознесенське,/Н-27/ — Вознесенське,2.5
Т-25-56,Н-07 – Густиня,/Н-07/ — Густиня,4.6
Т-25-59,М-02 – Лісове,/М-02/ — Лісове,1.2
Т-25-60,Придеснянське – Вишеньки,Придеснянське — Вишеньки,5.1
Т-25-61,Ріпки – Задеріївка – Радуль,Ріпки — Задеріївка — Радуль,35
Т-26-01,Чернівці – Вашківці – Путила – контрольно-пропускний пункт “Руська” з під’їздом до контрольно-пропускного пункту “Шепіт”,Чернівці — Вашківці — Путила — контрольно-пропускний пункт “Руська” з під’їздом до контрольно-пропускного пункту “Шепіт”,120.3
Т-26-02,Чернівці – Заставна – М-19,Чернівці — Заставна — /М-19/,26.8
Т-26-03,Чернівці – Недобоївці – Хотин,Чернівці — Недобоївці — Хотин,38.6
Т-26-04,Чернівці – Герца – контрольно-пропускний пункт “Дяківці”,Чернівці — Герца — контрольно-пропускний пункт “Дяківці”,32
Т-26-05,М-19 – Глибока,/М-19/ — Глибока,5.3
Т-26-06,Н-03 – Новоселиця – Герца – контрольно-пропускний пункт “Дяківці”,/Н-03/ — Новоселиця — Герца — контрольно-пропускний пункт “Дяківці”,12.4
Т-26-07,Кіцмань – Сторожинець – Глибока – Опришени з під’їздом до станції Вадул Сірет,Кіцмань — Сторожинець — Глибока — Опришени з під’їздом до станції Вадул Сірет,70.5
Т-26-08,Сторожинець – контрольно-пропускний пункт “Красноїльськ”,Сторожинець — контрольно-пропускний пункт “Красноїльськ”,27.2
Т-26-09,Р-62 – Долішній Шепіт – контрольно-пропускний пункт “Руська”,/Р-62/ — Долішній Шепіт — контрольно-пропускний пункт “Руська”,44.4
Т-26-10,Н-03 – Хотин – контрольно-пропускний пункт “Мамалига” (на м. Кишинів),/Н-03/ — Хотин —  контрольно-пропускний пункт “Мамалига” (на м. Кишинів),28.5
Т-26-12,Р-63 – станція Васкауци – Шишківці – контрольно-пропускний пункт “Вашківці”,/Р-63/ — станція Васкауци — Шишківці — контрольно-пропускний пункт “Вашківці”,10.6
Т-27-01,Орлівка – Бахчисарай,Орлівка — Бахчисарай,21.4
Т-27-02,Севастополь – порт “Камишова бухта” – мис Фіолент,/Севастополь — порт “Камишова бухта”/ — мис Фіолент,11
Т-27-03,Гончарне – Ялта,Гончарне — Ялта,44.9
Т-27-04,Севастополь – порт “Камишова Бухта” – бухта Козача,/Севастополь — порт “Камишова Бухта”/ — бухта Козача,6.7
Т-27-05,Під’їзд до бухти Ласпі,Під’їзд до бухти Ласпі,2.1
Т-27-07,Любимівка (м. Севастополь) – Фруктове,Любимівка  (м. Севастополь) — Фруктове,3.9
Т-27-08,Штурмове (м. Севастополь) – Хмельницьке(м. Севастополь),Штурмове (м. Севастополь) — Хмельницьке    (м. Севастополь),5.4
Т-27-09,Під’їзд до с-ща Кача,Під’їзд до с-ща Кача,26.6
Т-27-10,Штурмове (м. Севастополь) – Сахарна Головка (м. Севастополь),Штурмове (м. Севастополь) — Сахарна Головка (м. Севастополь),2.8
Т-27-11,Орлине – Родниківське – Узунджи,Орлине — Родниківське — Узунджи,8.7
Т-27-12,Родниківське – Передове,Родниківське — Передове,6.1
Т-27-13,Орлине – Тилове,Орлине — Тилове,4.7
Т-27-14,Під’їзд до станції Любимівка,Під’їзд до станції Любимівка,4.2
Т-27-15,Під’їзд до станції Максимова дача,Під’їзд до станції Максимова дача,1.7
Т-27-16,П’ятий кілометр Балаклавського шосе – мис Фіолент,П’ятий кілометр Балаклавського шосе — мис Фіолент,3.9
Т-27-17,Під’їзд до станції Мекензеві гори,Під’їзд до станції Мекензеві гори,7.9
