ref,name,official_name,distance
Р-85,Дніпро – Васильківка – Покровське – Гуляйполе – Пологи – Мелітополь,Дніпро — Васильківка — Покровське — Гуляйполе — Пологи — Мелітополь,255.5
Р-86,Гуків – Дунаївці – Могилів-Подільський,Гуків — Дунаївці — Могилів-Подільський,162
Р-87,Галич – Підгайці – Сатанів,Галич — Підгайці — Сатанів,132.1
Т-01-01,Обхід м. Сімферополя на ділянці Мирне – Дубки,Обхід м. Сімферополя на ділянці Мирне — Дубки,7.3
Т-01-02,Сєверне – Войкове,Сєверне — Войкове,26.1
Т-01-04,Саки – Орлівка,Саки — Орлівка,50.1
Т-01-05,Танкове – Оборонне,Танкове — Оборонне,26.1
Т-01-06,Сімферополь – Миколаївка,Сімферополь — Миколаївка,35
Т-01-07,Чорноморське – Воїнка,Чорноморське — Воїнка,120.6
Т-01-08,Чорноморське – Євпаторія,Чорноморське — Євпаторія,67.2
Т-01-10,Курман – Нижньогірський,Курман — Нижньогірський,36.2
Т-01-11,Роздольне – Євпаторія,Роздольне — Євпаторія,67.6
Т-01-12,Нижньогірський – Білогірськ,Нижньогірський — Білогірськ,54.1
Т-01-13,Тарханкут – Первомайське,Тарханкут — Первомайське,17.8
Т-01-14,Єди-Кую – М-17,Єди-Кую — /М-17/,4.1
Т-01-16,Новопавлівка – Научний,Новопавлівка — Научний,14
Т-01-17,Бахчисарай – Ялта,Бахчисарай — Ялта,69.9
Т-02-02,Могилів-Подільський – Ямпіль – Бершадь – Умань,Могилів-Подільський — Ямпіль — Бершадь — Умань,218.7
Т-02-03,Турбів – Погребище – Сквира,Турбів — Погребище — Сквира,88.8
Т-02-04,Південний об’їзд м. Вінниці,Південний об’їзд м. Вінниці,19.3
Т-02-05,Куна – М-30,Куна — /М-30/,8.4
Т-02-07,Джулинка – Гайворон – Благовіщенське – М-05,Джулинка — Гайворон — Благовіщенське —        /М-05/,46.5
Т-02-11,Вербовець – Новодністровськ – Р-63,Вербовець  — Новодністровськ — /Р-63/,29
Т-02-12,Вінниця – Шпиків – Комаргород,Вінниця — Шпиків — Комаргород,79.3
Т-02-14,М-30 – Біликівці,/М-30/ — Біликівці,30.5
Т-02-15,Ямпіль – Велика Кісниця,Ямпіль — Велика Кісниця,21.7
Т-02-17,Муровані Курилівці – М-21,Муровані Курилівці — /М-21/,23.3
Т-02-18,Лука-Барська – Біликівці – Жмеринка – Ямпіль,Лука-Барська — Біликівці — Жмеринка — Ямпіль,127.8
Т-02-22,Тульчин – Тростянець – Бершадь,Тульчин — Тростянець — Бершадь,61.2
Т-02-25,Контрольно-пропускний пункт “Болган” – Піщанка,Контрольно-пропускний пункт “Болган” — Піщанка,13
Т-02-31,Під’їзд до аеропорту “Вінниця”,Під’їзд до аеропорту “Вінниця”,1.2
