ref,official_name,name,distance,district,localities
С-02-20-15,(Тульчин – Тростянець –Бершадь) - Ілляшівка,Т-02-22 – Ілляшівка,4.2,Гайсинський район,Тростянецька селищна
С-02-20-16,(Тульчин –Тростянець –Бершадь) - станція Демківка,Т-02-22 – станція Демківка,4.24,Гайсинський район,Тростянецька селищна
С-02-20-17,(Тульчин –Тростянець –Бершадь) - Демидівка,Т-02-22 – Демидівка,7.422,Гайсинський район,Тростянецька селищна
С-02-20-18,Ободівка -Тростянчик,Ободівка – Тростянчик,17.002,Гайсинський район,"Тростянецька селищна,
Ободівська сільська"
С-02-20-19,Глибочок - Скибинці,Глибочок – Скибинці,4.62,Гайсинський район,Тростянецька селищна
С-02-20-20,(Вінниця – Турбів –Гайсин – Балта - Велика Михайлівка) -Четвертинівка,Р-33 – Четвертинівка,4.18,Гайсинський район,Тростянецька селищна
С-02-20-21,(Вінниця – Турбів –Гайсин – Балта - Велика Михайлівка) - Гордіївка,Р-33 – Гордіївка,12.271,Гайсинський район,Тростянецька селищна
О-02-21-01,Тульчин – Маньківка - Ладижин,Тульчин – Маньківка – Ладижин,28.867,Тульчинський - Гайсинський район,"Тульчинська міська,
Ладижинська міська"
О-02-21-02,Тульчин – Тиманівка - Марківка,Тульчин – Тиманівка – Марківка,29.96,Тульчинський район,"Тульчинська міська,
Вапнярська селищна"
О-02-21-03,Тульчин – Клебань -Ладижин,Тульчин – Клебань – Ладижин,31.69,Тульчинський район,"Тульчинська міська,
Ладижинська міська"
О-02-21-04,Тульчин – Зарічне -Тарасівка,Тульчин – Зарічне – Тарасівка,12.1,Тульчинський район,Тульчинська міська
О-02-21-05,Торків - Брацлав-Ситківці – Леухи -станція Монастирище,Торків – Брацлав-Ситківці – Леухи – станція Монастирище,82.945,Тульчинський - Гайсинський район,"Шпиківська селищна,
Тульчинська міська,
Брацлавська селищна,
Райгородська сільська,
Дашівська селищна"
О-02-21-06,Завалля - Нестерварка,Завалля – Нестерварка,1.4,Тульчинський район,Тульчинська міська
О-02-21-07,Нестрерварка - Кинашів,Нестрерварка – Кинашів,2.5,Тульчинський район,Тульчинська міська
О-02-21-08,Мазурівка - Тульчин,Мазурівка – Тульчин,5.8,Тульчинський район,Тульчинська міська
О-02-21-09,Печера - Нестерварка,Печера – Нестерварка,20.039,Тульчинський район,"Тульчинська міська,
Шпиківська селищна"
О-02-21-10,(Т-02-12) – Юрківка -Калинівка,Т-02-12 – Юрківка – Калинівка,16.2,Тульчинський район,"Тульчинська міська,
Шпиківська селищна"
