ref,official_name,name,distance
С041405,Чорненкове – Левадне,Чорненкове – Левадне,1.76
С041406,/Т-04-01/ – Отрішки,Т-04-01 – Отрішки,11.506
С041407,Олександрівка – Добропасове,Олександрівка – Добропасове,6.89
С041408,Водяне – Нововодяне,Водяне – Нововодяне,3.345
С041409,Відрадне – Зелений Гай,Відрадне – Зелений Гай,3.9
С041410,/Олександрівка – Вишневе/ – Новоолександрівка,С041410 – Новоолександрівка,3.62
С041411,Добропасове – Коломійці,Добропасове – Коломійці,3.99
С041412,Гапоно-Мечетне – Орли,Гапоно-Мечетне – Орли,5.49
С041413,Мечетне – Кривобокове – Орли,Мечетне – Кривобокове – Орли,9.162
С041414,//Н-15/ – Коломійці – Вербове/ – Вовче,С041414 – Вовче,2.325
С041415,Олексіївка – Орестопіль,Олексіївка – Орестопіль,7.262
С041416,Маломихайлівка – /Дмитрівка – Зелений Гай –,Маломихайлівка – Т-04-27,6.485
С041417,Степове – Березове,Степове – Березове,3.94
С041418,Великомихайлівка – зона відпочинку,Великомихайлівка – зона відпочинку,4.624
С041419,Великомихайлівка – Маліївка,Великомихайлівка – Маліївка,14.579
С041420,/Великомихайлівка – зона відпочинку/ – Лісне,С041420 – Лісне,4.578
С041421,Соснівка – Вороне,Соснівка – Вороне,4.49
С041422,Березове – Тернове,Березове – Тернове,2.8
С041423,/Тернове – Запорізьке/ – Новогеоргіївка,С041423 – Новогеоргіївка,3
С041424,Январське – Воскресінка,Январське – Воскресінка,02.07
С041425,Петриків – Водяне,Петриків – Водяне,5.5
С041426,Дрозди – Зарічне,Дрозди – Зарічне,2.188
С041427,Мечетне – Великомихайлівка,Мечетне – Великомихайлівка,14.025
С041428,/Н-15/ – Коломійці – Вербове,Н-15 – Коломійці – Вербове,19.375
С041429,Олександрівка – рай ШРБУ,Олександрівка – районне шляхове ремонтно-будівельне управління,1.12
С041430,/Великомихайлівка – Маліївка/ – Березове,С041419 – Березове,8.688
С041431,Олександрівка – Вишневе,Олександрівка – Вишневе,10.17
С041432,/Н-15/ – Новоскелювате,Н-15 – Новоскелювате,01.02
С041433,Братське – Зарічне,Братське – Зарічне,4.7
С041434,Тернове – Запорізьке,Тернове – Запорізьке,3.62
С041435,Вишневе – Привілля,Вишневе – Привілля,2.3
С041436,Новогеоргіївка – Темирівка,Новогеоргіївка – Темирівка,2.59
С041437,Єгорівка – Першотравневе,Єгорівка – Першотравневе,5.53
С041501,Лихівка – Байдаківка – Чистопіль,Лихівка – Байдаківка – Чистопіль,34.8
С041502,Комісарівка – /П’ятихатки – Лозуватка – /Мишурин Ріг – Вільногірськ//,Комісарівка – О041509,5.682
С041503,Богдано-Надеждівка – /Р-74/,Богдано-Надеждівка – Р-74,1.47
С041504,Червона Поляна – Мар’янівка,Червона Поляна – Мар’янівка,11.356
С041505,Миколаївка – Липове – Верхньокам’янисте,Миколаївка – Липове – Верхньокам’янисте,21.254
С041506,/Лихівка – Золотницьке/ – Малі Лозки,С041506 – Малі Лозки,2.8
С041507,Виноградівка – Новоукраїнка,Виноградівка – Новоукраїнка,15.824
С041508,Плоске – Олександро-Григорівка – /Мишурин Ріг – Вільногірськ/,Плоске – Олександро-Григорівка – Т-04-23,15.505
С041509,Райдужне – /Мишурин Ріг – Вільногірськ/,П’ятихатки – Лозуватка – Т-04-23,2.15
С041510,/Березняки – Байдаківка – Лозуватка – Долинське/ – Червоний Яр,О041505 – Червоний Яр,6.86
С041511,Ровеньки – Трудолюбівка – Запоріжжя,Ровеньки – Трудолюбівка – Запоріжжя,8.552
С041512,Веселий Поділ – Нововасилівка,Веселий Поділ – Нововасилівка,9.345
С041513,Калинівка – Культура – /Р-74/,Калинівка – Культура – Р-74,6.3
С041514,Зелений Луг – Зоря,Зелений Луг – Зоря,2.9
С041515,Петрівка – /М-04/,Петрівка – М-30,1.505
С041516,Миролюбівка – /Р-74/,Миролюбівка – Р-74,4.23
С041517,/Р-74/ – Красна Воля,Р-74 – Красна Воля,2
С041518,Саксагань – Чумаки,Саксагань – Чумаки,7.3
С041519,/П’ятихатки – Івашинівка – /Т-04-19// – Демурино – Варварівка,О041501 – Демурино – Варварівка,11.33
С041520,Галина Лозуватка – Чигринівка,Галина Лозуватка – Чигринівка,4.37
С041521,Під’ їзд до с. Григорівка,Під’ їзд до с. Григорівка,01.05
С041522,Під’ їзд до с. Суханівка,Під’ їзд до с. Суханівка,3.76
С041523,Під’їзд до с. Терно-Лозуватка,Під’їзд до с. Терно-Лозуватка,0.8
С041524,Під’ їзд до с. Новоіванівка,Під’ їзд до с. Новоіванівка,2.794
С041601,Синельникове – Парне,Синельникове – Парне,3.5
С041602,Сад – /Т-04-01/,Сад – Т-04-01,1.55
С041603,Іларіонове – Знаменівське,Іларіонове – Знаменівське,09.07
С041604,Олександропіль – Обоянівське,Олександропіль – Обоянівське,6.63
С041605,Дубо-Осокорівка – станція Івківка,Дубо-Осокорівка – станція Івківка,13.187
С041606,Лозуватка – /М-18/,Лозуватка – М-18,2.556
С041607,/М-18/ – Хорошеве,М-18 – Хорошеве,1.625
С041608,Надеждівка – Кам’януватка,Надеждівка – Кам’януватка,1.7
С041609,/Василівка-на-Дніпрі – Гірки – Бурханівка – /Синельникове – Славгород// – Надеждине,О041606 – Надеждине,2.94
