ref,official_name,name,distance
О040101,Апостолове – Грушівка,Апостолове – Грушівка,25.985
О040102,Апостолове – Перше Травня – /Н-23/,Апостолове – Перше Травня – Н-23,7.736
О040103,Вільне – Михайлівка – Кам’янка – Шолохове,Вільне – Михайлівка – Кам’янка – Шолохове,38.292
О040104,Зеленодольск – Велика Костромка,Зеленодольск – Велика Костромка,4.951
О040106,Жовте – Станція Жовтокам’янка,Жовте – Станція Жовтокам’янка,2.784
О040107,Тарасо-Григорівка – станція Павлопілля – Приют,Тарасо-Григорівка – станція Павлопілля – Приют,18.725
О040110,Українка – Зеленодольск,Українка – Зеленодольск,4.845
О040201,Васильківка – Миколаївка,Васильківка – Миколаївка,23.51
О040202,Васильківка – Чаплине,Васильківка – Чаплине,18.602
О040203,Васильківка – Письменне,Васильківка – Письменне,14.25
О040204,Дубовики – Шевченкове – Чаплине,Дубовики – Шевченкове – Чаплине,12.56
О040206,Під’їзд до смт Васильківка,Під’їзд до смт Васильківка,4.895
О040301,Верхньодніпровськ – Боровківка – Доброгірське,Верхньодніпровськ – Боровківка – Доброгірське,29.042
О040303,Верхньодніпровськ – санаторій “Славутич”,Верхньодніпровськ – санаторій “Славутич”,2.146
О040304,Верхівцеве – Червоноіванівка – Кринички,Верхівцеве – Червоноіванівка – Кринички,28.695
О040305,Дмитрівка – /Т-04-15/,Дмитрівка – Т-04-15,10.02
О040306,Боровківка – станція Воєводівка,Боровківка – станція Воєводівка,8.023
О040307,/Н-08/ – Дніпровське,Н-08 – Дніпровське,3.225
О040308,Мости – Ганнівка,Мости – Ганнівка,3.738
О040309,/Н-08/ – Заріччя,Н-08 – Заріччя,2.438
О040310,Томаківка – Боровківка – Верхівцеве,Томаківка – Боровківка – Верхівцеве,12.774
О040401,/Н-08/ – Волоське – Майорка,Н-08 – Волоське – Майорка,15.3
О040402,Станція Сухачівка – Горького,Станція Сухачівка – Горького,9.43
О040404,/Чаплі – Любимівка – Перше Травня/ – /Діброва – /М18//,Чаплі – Любимівка – Перше Травня – О041605,15.6
О040406,Під’їзд до станції Сурське,Під’їзд до станції Сурське,0.318
О040407,Правий місцевий проїзд по м. Підгородне,Правий місцевий проїзд по м. Підгородне,2.53
О040408,Лівий місцевий проїзд по м. Підгородне,Лівий місцевий проїзд по м. Підгородне,2.47
О040409,Під’їзд до с. Новомиколаївка,Під’їзд до с. Новомиколаївка,1.94
О040501,Кривий Ріг – станція Гейківка,Кривий Ріг – станція Гейківка,14.651
О040502,Кривий Ріг – Пичугине,Кривий Ріг – Пичугине,6.436
О040503,/Н-23/ – Лозуватка,Н-23 – Лозуватка,6.835
О040504,Лозуватка – станція Грекувата,Лозуватка – станція Грекувата,5.67
О040505,Веселі Терни – Широке – Златоустівка,Веселі Терни – Широке – Златоустівка,35.27
О040506,Веселі Терни – /Т-04-19/,Веселі Терни – Т-04-19,19.3
О040507,Тернівка – Софіївка – /Кривий Ріг – станція Гейківка/,Тернівка – Софіївка – О040501,24.95
О040509,Новопілля – Красівське – Веселе – Вільне – Солдатське,Новопілля – Красівське – Веселе – Вільне – Солдатське,38.49
О040511,/Н-23/ – Вільне,Н-23 – Вільне,3.3
О040601,Аули – /Н–08/,Аули – Н-08,0.924
О040602,//М-04/ – Промінь/ – /Т-04-20/,М-30 – Промінь – Т-04-20,17.985
О040603,/Верхівцеве – Кринички – Семенівка – Новоселівка/ – Миколаївка,Верхівцеве – Кринички – Семенівка – Новоселівка – Миколаївка,34.975
О040605,Адамівка – Калинівка – Болтишка,Адамівка – Калинівка – Болтишка,14.007
О040606,Об’їзд смт Кринички,Об’їзд смт Кринички,1.78
О040607,Лівий місцевий проїзд в с. Світлогірське,Лівий місцевий проїзд в с. Світлогірське,1.97
О040608,Правий місцевий проїзд в с. Світлогірське,Правий місцевий проїзд в с. Світлогірське,0.553
О040701,Топчино  – /Станція Бузівка – Жданівка – Поливанівка/,Топчино – О040704,21.567
О040702,/Т-04-14/ – Іванівка,Т-04-14 – Іванівка,15.34
О040703,Минівка – Дмухайлівка,Минівка – Дмухайлівка,15.43
О040704,Станція Бузівка – Жданівка – Поливанівка,Станція Бузівка – Жданівка – Поливанівка,39.905
О040705,/Т-04-13/ – Жданівка – станція Кільчень – /М-18/,Т-04-13 – Жданівка – станція Кільчень – М-18,36.885
О040706,Гупалівка – Юр’ївка – Преображенка,Гупалівка – Юр’ївка – Преображенка,18.197
О040707,Малоандріївка – /Т-04-13/,Малоандріївка – Т-04-13,17.4
О040708,Гупалівка – Дмухайлівка – Магдалинівка,Гупалівка – Дмухайлівка – Магдалинівка,23.3
О040709,Під’їзд до с. Казначеївка,Під’їзд до с. Казначеївка,2.23
О040801,Межова – Вознесенське – Новогригорівка – Юр’ївка,Межова – Вознесенське – Новогригорівка – Юр’ївка,29.31
О040802,Межова – Богданівка – Чаус,Межова – Богданівка – Чаус,19.213
О040803,Райполе – /Т-04-06/,Райполе – Т-04-06,2.247
О040804,/Дмитрівка – Зелений Гай – Гаврилівка/ – Демурине,Т-04-27 – Демурине,1.512
О040807,Під’їзд до смт Межова,Під’їзд до смт Межова,3.991
О040901,Нікополь – Приміське,Нікополь – Приміське,2.48
О040902,Новософіївка – Чистопіль – Новоіванівка,Новософіївка – Чистопіль – Новоіванівка,21.75
О040906,Високе – Новоіванівка – Чкалове,Високе – Новоіванівка – Чкалове,18.62
О040908,Шолохове – Токівське – Мар’янське,Шолохове – Токівське – Мар’янське,25.821
О040909,Станція Лошкарівка – Маринопіль – Гірницьке,Станція Лошкарівка – Маринопіль – Гірницьке,33.58
О040910,Першотравневе – /Високе – Чкалове/,О040906 – Східне,1.99
О040911,/Т-04-32/ – Південне,Т-04-32 – Південне,3.63
О040912,/Н-23/ – Червоногригорівка,Н-23 – Червоногригорівка,5.4
О040913,Чкалове – /Т-04-32/,Чкалове – Т-04-32,2.81
О041001,Новомосковськ – Спаське,Новомосковськ – Спаське,10.73
О041002,Новомосковськ – Королівка,Новомосковськ – Королівка,23.14
О041003,Станція Вільне – /М-18/,Станція Вільне – М-18,2.4
О041004,Піщанка – /М-04/,Піщанка – М-30,3.3
О041006,/М–18/ – Василівка – Олександрівка,М-18 – Василівка – Олександрівка,47.12
О041008,Меліоративне – Знаменівка – Новотроїцьке – Солоний,Меліоративне – Знаменівка – Новотроїцьке – Солоний,16.017
О041009,Новостепанівка – Керносівка,Новостепанівка – Керносівка,25.034
О041010,Вільне – Гвардійське – /М-18/,Вільне – Гвардійське – М-18,20.94
О041011,Під’їзд до смт Гвардійське,Під’їзд до смт Гвардійське,0.309
О041012,Під’їзд до Солоного Лиману,Під’їзд до Солоного Лиману,1.396
О041013,Перещепине – Веселе,Перещепине – Веселе,1.1
О041101,Станція Мінеральна – Карабинівка,Станція Мінеральна – Карабинівка,4.16
О041103,ДОТ – Вербки – Степ – Нова Русь,ДОТ – Вербки – Степ – Нова Русь,31.7
О041104,/Т-04-08/ – Привовчанське,Т-04-08 – Привовчанське,2.1
О041106,Зелене – Богданівка – Богуслав,Зелене – Богданівка – Богуслав,33.83
О041107,Межиріч – /М-04/,Межиріч – М-30,2.53
О041108,/Т-04-08/ – Мар’ївка,Т-04-08 – Мар’ївка,14.58
О041109,/Т-04-08/ – Левадки,Т-04-08 – Левадки,8.6
О041201,Петриківка – Шульгівка,Петриківка – Шульгівка,20.787
О041202,Курилівка – Миколаївка – Єлизаветівка,Курилівка – Миколаївка – Єлизаветівка,24.35
О041203,Хутірське – Лобойківка,Хутірське – Лобойківка,5.99
О041301,Петропавлівка – Роздори,Петропавлівка – Роздори,20.7
О041302,Петропавлівка – Сонцеве – Богданівка,Петропавлівка – Сонцеве – Богданівка,26.075
О041303,Петропавлівка – /М-04/,Петропавлівка – М-30,3.55
О041304,/Петропавлівка – Роздори/ – Мар’янка,О041304 – Мар’янка,22
О041305,Дмитрівка – Добровілля – /Васильківка – Миколаївка/,Дмитрівка – Добровілля – О040201,23.565
О041306,Лозове – Новотроїцьке – /Т-04-06/,Лозове – Новотроїцьке – Т-04-06,12.868
О041307,Троїцьке – /М-04/,Троїцьке – М-30,1.9
О041308,Петрівка – Миколаївка,Петрівка – Миколаївка,2.9
О041309,Під’їзд до бурякопункту станції Залізничне,Під’їзд до бурякопункту станції Залізничне,02.08
О041401,Покровське – Катеринівка – /Т-04-01/,Покровське – Катеринівка – Т-04-01,19.216
О041402,Покровське – станція Мечетна,Покровське – станція Мечетна,0.425
О041403,Андріївка – /Т-04-01/,Андріївка – Т-04-01,3.54
О041404,Данилівка – Вишневе – Березове,Данилівка – Вишневе – Березове,26.555
О041405,Гаврилівка – Іванівка – Новопавлівка,Маломихайлівка – Т-04-27,22.562
О041406,Просяна – Великомихайлівка,Просяна – Великомихайлівка,18.9
О041501,П’ятихатки – Івашинівка – /Т-04-19/,П’ятихатки – Івашинівка – Т-04-19,12.175
О041502,Лихівка – Золотницьке,Лихівка – Золотницьке,29.19
О041503,П’ятихатки – Нововасилівка – Жовте – /Р-74/,П’ятихатки – Нововасилівка – Жовте – Р-74,35.62
О041504,Красноіванівка – Саксагань – /М-04/,Красноіванівка – Саксагань – М-30,12.51
О041505,Березняки – Байдаківка – Лозуватка – Долинське,Березняки – Байдаківка – Лозуватка – Долинське,47.02
О041506,Пальмирівка – Яковлівка,Пальмирівка – Яковлівка,7.194
О041507,Вишневе – Саївка,Вишневе – Саївка,12.44
О041508,Мар’янівка – станція Савро,Мар’янівка – станція Савро,8.265
О041509,П’ятихатки – Лозуватка – /Мишурин Ріг – Вільногірськ/,П’ятихатки – Лозуватка – Т-04-23,27.235
О041510,Вершинне – станція Савро – Гомельське – Червоне,Вершинне – станція Савро – Гомельське – Червоне,31.32
О041601,Синельникове – /Т-04-01/,Синельникове – Т-04-01,3.47
О041602,Синельникове – Миролюбівка – Терса,Синельникове – Миролюбівка – Терса,24.631
О041604,Синельникове – Запорожець,Синельникове – Запорожець,28.6
О041605,Діброва – /М-18/,Діброва – М-18,16.67
О041606,Василівка-на-Дніпрі – Гірки – Бурханівка – /Синельникове – Славгород/,Василівка-на-Дніпрі – Гірки – Бурханівка – Т-04-45,29.8
О041607,/Т-04-01/ – Іларіонове,Т-04-01 – Іларіонове,1.638
О041609,/М-18/ – Славгород,М-18 – Славгород,13.684
О041610,Дороге – Дерезувате,Дороге – Дерезувате,7.051
О041611,Зайцеве – /Т-04-16/,Зайцеве – Т-04-16,1.37
О041612,Кислянка – Вільне – Новоолексіївка,Кислянка – Вільне – Новоолексіївка,10.72
О041613,Раївка – /Т-04-01/,Раївка – Т-04-01,2.365
О041614,/Т-04-01/ – Старовишневецьке,Т-04-01 – Старовишневецьке,2.25
О041615,/Т-04-01/ – Миролюбівка – Тургенєвка,Т-04-01 – Миролюбівка – Тургенєвка,32.545
О041616,Східний обхід м. Синельникове,Східний обхід м. Синельникове,3.4
О041701,Солоне – Лошкарівка,Солоне – Лошкарівка,58.974
О041702,Чернігівка – Святовасилівка – /Р-80/,Чернігівка – Святовасилівка – Р-80,46.946
О041703,Якимівка – Сурсько-Михайлівка,Якимівка – Сурсько-Михайлівка,32.955
О041704,/Н-08/ – Василівка – Оріхове – Військове,Н-08 – Василівка – Оріхове – Військове,24.206
О041706,/Н-08/ – Микільське-на-Дніпрі,Н-08 – Микільське-на-Дніпрі,16.55
О041707,Привільне – Тритузне – Широке – Дніпровське,Привільне – Тритузне – Широке – Дніпровське,39.019
О041708,/Н-08/ – Башмачка,Н-08 – Башмачка,5.32
О041709,Військове – меморіал Військове,Військове – меморіал Військове,2.76
О041710,/Солоне – Лошкарівка/ – Широке – /Р-73/,О041710 – Широке – Р-73,17.483
О041801,Софіївка – Перше Травня – станція Милорадівка,Софіївка – Перше Травня – станція Милорадівка,20.1
О041802,Девладове – Веселе Поле,Девладове – Веселе Поле,06.05
О041803,Братське – Софіївка – /Н-11/,Братське – Софіївка – Н-11,21
О041804,Вакулове – Лошкарівка – /Т-04-32/,Вакулове – Лошкарівка – Т-04-32,23.95
О041805,Вакулове – Павлопілля – /Т-04-32/,Вакулове – Павлопілля – Т-04-32,25.715
О041807,Девладове – Гончарівка,Девладове – Гончарівка,1.9
О041808,/Н-11/ – Кам’янка,Н-11 – Кам’янка,4.96
О041901,Чумаки – Китайгородка – /Р-73/,Чумаки – Китайгородка – Р-73,10.13
О041902,Сергіївка – Томаківка – Новокатьощине,Сергіївка – Томаківка – Новокатьощине,28.947
О041903,/Н-23/ – Зоря,Н-23 – Зоря,0.93
О041904,Мирове – Високе – /Н-23/,Мирове – Високе – Н-23,16.914
О041905,/Т-04-20/ – Виводове,Т-04-20 – Виводове,1.333
О041906,/Р-73/ – Зелений Гай – Преображенка – /Т-04-20/,Р-73 – Зелений Гай – Преображенка – Т-04-20,29.475
О041907,Об’їзд смт Томаківка,Об’їзд смт Томаківка,6.083
О042001,Царичанка – Залелія – Канави,Царичанка – Залелія – Канави,13.27
О042002,Царичанка – Рудка – Орлик,Царичанка – Рудка – Орлик,14.41
О042003,Михайлівка – Бабайківка – Івано–Яризівка,Михайлівка – Бабайківка – Івано-Яризівка,21.367
О042004,Лисківка – Могилів – Проточі – /Петриківка – Шульгівка/,Лисківка – Могилів – Проточі – О042004,20.202
О042005,Прядівка – Новопідкряж  – /Н-31/,Прядівка – Новопідкряж – Н-31,19.24
О042102,Андріївка – /Широке – Шестірня – Заградівка/,Андріївка – Т-04-47,4.18
О042103,Новоселівка – /Р-74/,Новоселівка – Р-74,3.25
О042104,/Н-11/ – аеропорт,Н-11 – аеропорт,27.8
О042106,Східний обхід смт Широке,Східний обхід смт Широке,7.91
О042107,Гречані Поди – Свистунове – Кравці – Благодатне,Гречані Поди – Свистунове – Кравці – Благодатне,28.87
О042108,Під’їзд до с. Олександрівка,Під’їзд до с. Олександрівка,2.255
О042201,Олександрівка – /Шандрівка – Варварівка – ІваноМежиріцьке – Новогригорівка/,Олександрівка – О042203,1.1
О042202,Білозерське – Українське,Білозерське – Українське,36.623
О042203,Шандрівка – Варварівка – Івано-Межиріцьке – Новогригорівка,Шандрівка – Варварівка – Івано-Межиріцьке – Новогригорівка,52.56
О042204,Олексіївка – Преображенка,Олексіївка – Преображенка,6.37
О042205,Новов’язівське – Кочережки – Булахівка – /М-04/,Новов’язівське – Кочережки – Булахівка – М-30,31.03
О042207,Станція Жемчужне – /Білозерське – Українське/,Станція Жемчужне – О042207,5.15
С040101,/Н-23/ – Вільне,Н-23 – Вільне,3.35
С040102,/Новопілля – Красівське – Веселе – Вільне – Солдатське/ – Веселі Чумаки,С040102 – Веселі Чумаки,4.17
С040103,Новомар’ївка – /Т-04-19/,Новомар’ївка – Т-04-19,5.585
С040104,Плодорозсадник – /Т-04-19/,Плодорозсадник – Т-04-19,1.215
С040105,/Т-04-19/ – цегельний завод,Т-04-19 – цегельний завод,1.27
С040106,Перше Травня – Нова Січ,Перше Травня – Нова Січ,03.07
С040107,Перше Травня – Новосеменівка,Перше Травня – Новосеменівка,3.595
С040108,Червона Колона – /Т-04-19/,Червона Колона – Т-04-19,2.6
С040109,Катеринівка – Михайлівка – /Т-04-19/,Катеринівка – Михайлівка – Т-04-19,18.487
С040110,Новоіванівка – Кам’янка,Новоіванівка – Кам’янка,13.6
С040111,/Н-23/ – Садове,Н-23 – Садове,1.5
С040112,Михайло-Заводське – /Т-04-19/,Михайло-Заводське – Т-04-19,3.315
С040113,Кам’янка – Червоний Тік,Кам’янка – Червоний Тік,11.82
С040114,/Апостолове – Грушівка/ – Запорізьке,С040114 – Запорізьке,2.62
С040115,/Н-23/ – Велика Костромка,Н-23 – Велика Костромка,9.17
С040116,/Н-23/ – рибколгосп в с. Грушівка,Н-23 – рибколгосп в с. Грушівка,02.06
С040117,/Шолохове – Токівське – Мар’янське/ – Грушівка,С040117 – Грушівка,11.2
С040118,Під’їзд до с. Єлизаветпілля,Під’їзд до с. Єлизаветпілля,1.2
С040119,Під’їзд до с. Шевченко,Під’їзд до с. Шевченко,2.17
С040201,Вербівське – Тихе,Вербівське – Тихе,7.75
С040202,Морозівське – Новогригорівка,Морозівське – Новогригорівка,5.575
С040203,Широке – Павлівка – Перевальське,Широке – Павлівка – Перевальське,13.65
С040204,Криворізьке – /Т-04-08/,Криворізьке – Т-04-08,09.01
С040205,Червона Долина – Павлівка,Червона Долина – Павлівка,4.708
С040206,Первомайське – /Т-04-08/,Первомайське – Т-04-08,0.307
С040207,Шев’якине – /Т-04-08/,Шев’якине – Т-04-08,1.468
С040208,Преображенське – /Т-04-08/,Преображенське – Т-04-08,1.69
С040209,/Т-04-08/ – Перепеляче,Т-04-08 – Перепеляче,01.08
С040210,Новотерсянське – /Веселий Кут – Охотниче – Григорівка/,Новотерсянське – С040211,1.125
С040211,Веселий Кут – Охотниче – Григорівка,Веселий Кут – Охотниче – Григорівка,14.335
С040212,Вовчанське – /Т-04-01/,Вовчанське – Т-04-01,02.09
С040213,Краснощокове – Шевченкове – Свиридове,Краснощокове – Шевченкове – Свиридове,6.275
С040214,Зелена Роща – /Дмитрівка – Зелений Гай – Гаврилівка/,Зелена Роща – Т-04-27,1.875
С040215,Очеретувате – Добровілля,Очеретувате – Добровілля,4.505
С040216,Воскресенівка – Катеринівка,Воскресенівка – Катеринівка,13.11
С040217,Лиса Балка – /Дмитрівка – Добровілля – /Васильківка – Миколаївка//,Лиса Балка – О041305,7.135
С040218,Возвратне – Дібрівка,Возвратне – Дібрівка,9.83
С040219,Дачне – /Васильківка – Миколаївка/,Дачне – О040201,2.48
С040220,Бровки – /Васильківка – Миколаївка/,Бровки – О040201,3.188
С040221,/Т-04-01/ – Письменне – Новогригорівка (на Новомиколаївку),Т-04-01 – Письменне – Новогригорівка (на Новомиколаївку),28.577
С040222,/Т-04-01/ – Аврамівка,Т-04-01 – Аврамівка,11.68
С040223,Медичне – /Васильківка – Миколаївка/,Медичне – О040201,1.79
С040224,Улянівка – /Васильківка – Письменне/,Улянівка – С040224,4.7
С040225,/Васильківка – Миколаївка/ – Артемівка,О040201 – Артемівка,2.366
С040226,Манвелівка – Кобзар – Шевченко,Манвелівка – Кобзар – Шевченко,5.57
С040227,Зелений Гай – Таранове – Хуторо-Чаплине,Зелений Гай – Таранове – Хуторо-Чаплине,11.227
С040228,/Дмитрівка – Зелений Гай – Гаврилівка/ – Довге,Т-04-27 – Довге,3.28
С040229,Письменне – Зелений Гай,Письменне – Зелений Гай,8.075
С040230,Луб’янці – /Письменне – Зелений Гай/,Луб’янці – С040229,01.09
С040231,Письменне – Новоіванівка,Письменне – Новоіванівка,4.518
С040232,/Т-04-06/ – ХПП Чаплине,Т-04-06 – ХПП Чаплине,1.735
С040233,Самарське – Широке,Самарське – Широке,02.08
С040234,/Широке – Павлівка – Перевальське/ – Довге,С040203 – Довге,4.5
С040235,Чаплине – Рівне,Чаплине – Рівне,4.4
С040236,/Т-04-06/ – Петрикове,Т-04-06 – Петрикове,2
С040237,Григорівка – Пришиб,Григорівка – Пришиб,3.23
С040238,/Т-04-01/ – Дебальцеве – Лугове,Т-04-01 – Дебальцеве – Лугове,9.2
С040239,Великоолександрівка – Воскресенівка,Великоолександрівка – Воскресенівка,1.742
С040240,Під’їзд до с. Богданівка,Під’їзд до с. Богданівка,1.5
С040241,Під’їзд до с. Солонці,Під’їзд до с. Солонці,2.64
С040242,Під’їзд до ХПП с. Письменне,Під’їзд до ХПП с. Письменне,0.65
С040243,Під’їзд до бурякопункту,Під’їзд до бурякопункту,0.725
С040244,Під’їзд до с. Бабакове,Під’їзд до с. Бабакове,1.59
С040245,Під’їзд до кар’єру райавтодору,Під’їзд до кар’єру райавтодору,0.5
С040301,Калужине – Дніпровокам’янка – /Н-08/,Калужине – Дніпровокам’янка – Н-08,8.803
С040302,Мишурин Ріг – Фастове,Мишурин Ріг – Фастове,2.663
С040303,Новоселівка – Якимівка,Новоселівка – Якимівка,11.393
С040304,/Калужине – Дніпровокам’янка – /Н-08// – Суслівка,С040304 – Суслівка,2.965
С040305,/Станція Верхньодніпровськ – Верхівцеве – Божедарівка/ – Малоолександрівка,Т-04-22 – Малоолександрівка,7.583
С040306,Дубове – Петрівка,Дубове – Петрівка,5.485
С040307,/Н-08/ – Домоткань,Н-08 – Домоткань,1.62
С040308,Перше Травня – /Верхньодніпровськ – Боровківка – Доброгірське/,Перше Травня – С040308,1.97
С040309,/Станція Верхньодніпровськ – Верхівцеве – Божедарівка/ – Чкаловка,Т-04-22 – Чкаловка,1.45
С040310,Івашкове – Клин,Івашкове – Клин,11.836
С040311,Правобережне – /Н-08/,Правобережне – Н-08,2.588
С040312,/Верхньодніпровськ – Лихівка/ – Василівка,Т-04-46 – Василівка,2.014
С040313,Миколаївка – Солов’ївка,Миколаївка – Солов’ївка,8.674
С040314,Тарасівка – Новогригорівка,Тарасівка – Новогригорівка,10.8
С040315,Зелене – /Т-04-15/,Зелене – Т-04-15,2.341
С040316,Дніпровське – Аули,Дніпровське – Аули,3.882
С040317,/Т-04-15/ – Діденкове,Т-04-15 – Діденкове,1.713
С040318,Андріївка – /Дмитрівка – /Т-04-15//,Андріївка – С040318,0.732
С040319,Новогригорівка – /Боровківка – Воєводівка/,Новогригорівка – О040306,3.519
С040320,/Станція Верхньодніпровськ – Верхівцеве –,Т-04-22 – Чепине,1.881
С040321,Новомиколаївка – Братське,Новомиколаївка – Братське,2.038
С040322,Широке – Верхівцеве,Широке – Верхівцеве,8.971
С040323,/Мишурин Ріг – Вільногірськ/ – Кушнарівка,Т-04-23 – Кушнарівка,1.493
С040324,Калинівка – Полівське – Адалимівка,Калинівка – Полівське – Адалимівка,5.935
С040325,/Станція Верхньодніпровськ – Верхівцеве –,Т-04-22 – Семенівка,4.012
С040326,Під’їзд до с. Полівське,Під’їзд до с. Полівське,2.286
С040327,Під’їзд до с. Домоткань,Під’їзд до с. Домоткань,1.3
С040328,Під’їзд до с. Матюченкове,Під’їзд до с. Матюченкове,1.635
С040401,Дніпро до ВАТ “Чумаки”,Дніпро до ВАТ “Чумаки”,1.36
С040402,Сурське – /Р-80/,Сурське – Р-80,8.3
С040403,/Р-80/ – Новотаромське,Р-80 – Новотаромське,3.53
С040404,/М-04/ – ПТФ “За мир”,М-30 – ПТФ “За мир”,1
С040405,Новоолександрівка – Дніпрове,Новоолександрівка – Дніпрове,16.8
С040406,Військова частина – /М-04/,Військова частина – М-30,3.96
С040407,Полігонт – /Т-04-10/,Полігонт – Т-04-10,1
С040408,Дніпропетровська РЕС – /Т-04-10/,Дніпропетровська РЕС – Т-04-10,0.667
С040409,Аеропорт – Старі Кодаки,Аеропорт – Старі Кодаки,4.2
С040410,Любимівка – Придніпрянське,Любимівка – Придніпрянське,3.9
С040411,Маївка – /Дніпро – Хутірське/,Маївка – Т-04-05,9.88
С040412,/Дніпро – Хутірське/ – Зоря – Дачі,Т-04-05 – Зоря – Дачі,9.121
С040413,/М-04/ – зона відпочинку,М-30 – зона відпочинку,5.7
С040414,Дніпропетровська ПТФ – /Н-31/,Дніпропетровська ПТФ – Н-31,1.4
С040415,/Дніпро – Хутірське/ – ж/м Березанівка,Маївка – Т-04-05,3.9
С040416,Дачі – /Ігрень (м. Дніпро) – Олександрівка – /М-18//,Дачі – Т-04-02,2.4
С040417,Соцгород – КСП “Дзержинець”,Соцгород – КСП “Дзержинець”,0.935
С040418,Василівка – /Т-04-01/,Василівка – Т-04-01,2.1
С040419,КСП “Науковий” – Шевченко,КСП “Науковий” – Шевченко,8.2
С040420,Аеропорт – Сажівка,Аеропорт – Сажівка,02.01
С040421,Дороге – /Дніпро – Новомиколаївка – /М-04//,Дороге – Т-04-21,4.1
С040422,Ракшівка – //Н-08/ – Волоське – Майорка/,Ракшівка – О040401,2.43
С040423,Червоний Садок – //Н-08/ – Волоське – Майорка/,Червоний Садок – О040401,2.2
С040424,Новомиколаївка – Зелений Гай,Новомиколаївка – Зелений Гай,5.9
С040425,Волоське – к-р Волоський,Волоське – к-р Волоський,1.15
С040426,Степове – Партизанське,Степове – Партизанське,11.067
С040427,Горянівське – /Н-31/,Горянівське – Н-31,1.31
С040428,Під’їзд до с.Чаплі,Під’їзд до с.Чаплі,2.6
С040429,Під’їзд до с.Пашена Балка,Під’їзд до с.Пашена Балка,4.2
С040430,Під’ їзд до с. Балівка,Під’ їзд до с. Балівка,0.55
С040431,Під’їзд до Кам’янської ПТФ,Під’їзд до Кам’янської ПТФ,3.97
С040432,Партизанське – Лобойківка,Партизанське – Лобойківка,10.334
С040501,Іванівка – Ранній Ранок – Кривбас,Іванівка – Ранній Ранок – Кривбас,7.99
С040502,Софіївка – Христофорівка,Софіївка – Христофорівка,5.175
С040503,Іванівка – Софіївка,Іванівка – Софіївка,6.39
С040504,Недайвода – Новоіванівка,Недайвода – Новоіванівка,8.727
С040505,Під’їзд до с. Новий Мир,Під’їзд до с. Новий Мир,02.05
С040506,Новолозуватка – Чкаловка,Новолозуватка – Чкаловка,10.645
С040507,Родіонівка – Інгулець,Родіонівка – Інгулець,3.725
С040508,/Новопетрівка – Новоганнівка – Лозуватка/ – Раєво Олександрівка,С040518 – Раєво Олександрівка,5.85
С040509,/Новопетрівка – Новоганнівка – Лозуватка/ – /Н-23/,С040518 – Н-23,6.187
С040510,Р-п “Інгулецький” – //Н-23/ – Лозуватка/,Радгосп “Інгулецький” – О040503,1.4
С040511,/Н-23/ – Надія,Н-23 – Надія,4.85
С040512,Миролюбівка – Радушне,Миролюбівка – Радушне,2.6
С040513,Жданове – Новий Шлях,Жданове – Новий Шлях,7.7
С040514,Красіне – Суворовка,Красіне – Суворовка,1.37
С040515,/Кам’яне Поле – Пичугине – Суворовка – Мар’ївка/ – Новожитомир,С040515 – Новожитомир,4
С040516,Зелене Поле – Маяк,Зелене Поле – Маяк,7.1
С040517,Гомельське – Калинівка,Гомельське – Калинівка,4.2
С040518,Новопетрівка – Новоганнівка – Лозуватка,Новопетрівка – Новоганнівка – Лозуватка,12.72
С040519,Зоря – /ЦГЗК – Північний ГЗК/,Зоря – <ЦГЗК – Північний ГЗК>,3.5
С040520,Кам’яне Поле – Пичугине – Суворовка – Мар’ївка,Кам’яне Поле – Пичугине – Суворовка – Мар’ївка,53.338
С040521,Новоіванівка – Базарове,Новоіванівка – Базарове,4.36
С040522,Тернуватка – цегельний завод – Лозуватка,Тернуватка – цегельний завод – Лозуватка,14.49
С040523,Красна Балка – Веселий Кут,Красна Балка – Веселий Кут,15.01
С040524,Птахокомплекс – Грузьке,Птахокомплекс – Грузьке,1.4
С040525,Грузьке – Анастасівка – Софіївка,Грузьке – Анастасівка – Софіївка,8.815
С040526,Лозуватка – Дружба,Лозуватка – Дружба,11.14
С040527,Братсько-Семенівка – Надеждівка,Т-04-22 – Івано-,1.5
С040528,Новолозуватка – Грузька Григорівка,Новолозуватка – Грузька Григорівка,4.694
С040529,/Кривий Ріг – Пичугине – Золота Поляна/ – Новомайське,О040502 – Золота Поляна – Новомайське,4.911
С040530,Павлівка – Гейківка,Павлівка – Гейківка,07.01
С040531,Христофорівка – Кудашівка,Христофорівка – Кудашівка,4.613
С040532,/Н-11/ – Новоселівка,Н-11 – Новоселівка,0.59
С040533,/Н-11/ – Дніпровка,Н-11 – Дніпровка,1.5
С040534,/Н-11/ – Червоні Поди – Садове,Н-11 – Червоні Поди – Садове,6.32
С040535,Данилівка – /Кривий Ріг – станція Гейківка/,Данилівка – О040501,1.505
С040536,Новогригорівка – Златоустівка,Новогригорівка – Златоустівка,2.5
С040537,/Кривий Ріг – станція Гейківка/ – Зелений Луг,О040501 – Зелений Луг,1.895
С040538,/Кам’яне Поле – Пичугине – Суворовка – Мар’ївка/ – Андрусівка,С040538 – Андрусівка,1.7
С040539,/Кривий Ріг – станція Гейківка/ – Зелений Гай,О040501 – Зелений Гай,2.55
