uid,ref,name,official_name,distance,district
574676997,О101317,Тарасівка – Круглик – Хотів,ТАРАСIВКА - КРУГЛИК - ХОТІВ,17.5,Києво-Святошинський район
574676998,О101318,Княжичі – Забір'я – Віта Поштова,"КНЯЖИЧІ - ЗАБІР""Я - ВIТА ПОШТОВА",13.4,Києво-Святошинський район
574676999,О101319,Мила – Гореничі,МИЛА-ГОРЕНИЧI,6.0,Києво-Святошинський район
574677022,О101321,Під'їзд до Північної регіональної митниці,ПІД'ЇЗД ДО ПІВНІЧНОЇ РЕГІОНАЛЬНОЇ МИТНИЦІ,0.4,Києво-Святошинський район
574677023,О101322,Бузова – Ясногородка,БУЗОВА - ЯСНОГОРОДКА,2.6,Києво-Святошинський район
574677024,О101323,Жуляни – Крюківщина,ЖУЛЯНИ-КРЮКIВЩИНА,1.3,Києво-Святошинський район
574677025,О101324,М-07 – Мироцьке,/КИЇВ-КОВЕЛЬ/-МИРОЦЬКЕ,4.3,Києво-Святошинський район
574677026,О101325,Р-30 – Ірпінь,/Р-30/- м. ІРПІНЬ,5.6,Києво-Святошинський район
574677921,О101401,Макарів – Рожів з під'їздом до О101415,МАКАРIВ-РОЖIВ З ПІД'ЇЗДОМ ДО А/Д МАКАРІВ-КОМАРІВКА,19.1,Макарівський район
574677922,О101402,Макарів – Плахтянка – Катюжанка – Вахівка – Любидва,"МАКАРIВ - ЛЮБИДВА ЧЕРЕЗ ПЛАХТЯНКУ, КАТЮЖАНКУ, ВАХIВКУ",74.0,"Бородянський район,Вишгородський район,Макарівський район"
574677923,О101403,Яблунівка – Чорногородка,ЯБЛУНІВКА - ЧОРНОГОРОДКА,4.3,Макарівський район
574677924,О101404,Макарів – Вишеград,МАКАРІВ - ВИШЕГРАД,6.3,Макарівський район
574677925,О101405,Кодра – Липівка,КОДРА-ЛИПIВКА,23.2,Макарівський район
574677926,О101406,Королівка – Озірщина – Дмитрівка – Вабля,"КОРОЛІВКА - ВАБЛЯ ЧЕРЕЗ ОЗІРЩИНУ, ДМИТРІВКУ",13.3,"Бородянський район,Макарівський район"
574677927,О101407,Бишів – Козичанка – Грузське – Великий Карашин,"БИШIВ-ВЕЛИКИЙ КАРАШИН ЧЕPЕЗ КОЗИЧАНКУ,ГРУЗСЬКЕ",24.9,Макарівський район
574677928,О101408,Юрівка – Соснівка – Лубське – Ферма – Чорногородка,"ЮРIВКА-ЧОРНОГОРОДКА /ЧЕРЕЗ СОСНIВКУ, ЛУБСЬКЕ, ФЕРМУ/",23.5,Макарівський район
574677951,О101410,Комарівка – Небилиця,КОМАРIВКА - НЕБИЛИЦЯ,13.6,Макарівський район
574677953,О101412,Юрів – Великий Карашин – Брусилів,ЮРIВ - ВЕЛИКИЙ КАРАШИН /НА БРУСИЛІВ/,12.3,Макарівський район
574677954,О101413,Станція Буян – Комарівка,СТАНЦIЯ БУЯН - КОМАРІВКА,6.8,Макарівський район
574677955,О101414,Копилів – Ясногородка,КОПИЛIВ - ЯСНОГОРОДКА,13.4,Макарівський район
574677956,О101415,Макарів – Комарівка – Радомишль,МАКАРІВ-КОМАРІВКА (НА РАДОМИШЛЬ),28.2,Макарівський район
574678882,О101501,Миронівка – Нова Миронівка,МИРОНІВКА-НОВА МИРОНІВКА,10.5,Миронівський район
574678884,О101503,Карапиші – Владиславка,КАРАПИШI-ВЛАДИСЛАВКА,13.3,Миронівський район
574678886,О101505,Фролівка – Зеленьки,ФРОЛIВКА-ЗЕЛЕНЬКИ,11.8,Миронівський район
574678888,О101507,Ходорів – Ємчиха,ХОДОРIВ-ЄМЧИХА,33.6,Миронівський район
574678890,О101509,Великий Букрин – Пії – Потік – Маслівка,"ВЕЛИКИЙ БУКРИН-МАСЛIВКА ЧЕРЕЗ ПIЇ,ПОТIК",50.7,Миронівський район
574678912,О101510,Яхні – Калинівка,ЯХНИ - КАЛИНІВКА,10.5,"Богуславський район,Миронівський район"
574679843,О101601,Обухів – Українка – Трипілля,ОБУХIВ - УКРАЇНКА - ТРИПІЛЛЯ,8.1,Обухівський район
574679844,О101602,Р-01 – Українка,/Р-01/ - УКРАЇНКА,6.2,Обухівський район
574679845,О101603,Обухів – Великі Дмитровичі – Ходосівка – Лісники,"ОБУХIВ-ЛIСНИКИ ЧЕРЕЗ ВЕЛИКI ДМИТРОВИЧI, ХОДОСIВКУ",21.4,"Києво-Святошинський район,Обухівський район"
574679846,О101604,Григорівка – Красна Слобідка,ГРИГОРIВКА-КРАСНА СЛОБIДКА,6.9,Обухівський район
574679847,О101605,Н-01 – С101630,/Н-01/ -/СЕМЕНІВКА- ДЕРЕМЕЗНА/,11.1,Обухівський район
574679848,О101606,Мала Вільшанка – Сущани,МАЛА ВIЛЬШАНКА-СУЩАНИ,16.2,Обухівський район
574679849,О101607,Р-19 – Дерев'яна,/ФАСТІВ-МИТНИЦЯ-ОБУХІВ-РЖИЩІВ-КАНІВ/-ДЕРЕВ'ЯНА,1.3,Обухівський район
574679850,О101608,Р-19 – Щербанівка,/ФАСТІВ-МИТНИЦЯ-ОБУХІВ-РЖИЩІВ-КАНІВ/ -ЩЕРБАНIВКА,5.2,Обухівський район
574679873,О101610,Під'їзд до м. Обухова,ПІД'ЇЗД ДО м. ОБУХОВ,8.3,Обухівський район
574679874,О101611,Трипілля – Верем'я,ТРИПIЛЛЯ-ВЕРЕМ'Я,10.0,Обухівський район
574680804,О101701,М-03 – Соснова – Ташань – Гельмязів,/М-03/ - СОСНОВА-ТАШАНЬ /НА ГЕЛЬМЯЗIВ/,31.6,Переяслав-Хмельницький район
574680805,О101702,Пристроми – Гребля,ПРИСТРОМИ-ГРЕБЛЯ,20.1,Переяслав-Хмельницький район
574680806,О101703,О101713 – Хоцьки,/ПЕРЕЯСЛАВ-ХМЕЛЬНИЦЬКЫЙ - ДОБРАНИЧІВКА/ - ХОЦЬКИ,20.1,Переяслав-Хмельницький район
574680807,О101704,О101713 – Помоклі,/ПЕРЕЯСЛАВ-ХМЕЛЬНИЦЬКИЙ-/М-03/ - ПОМОКЛI,17.5,Переяслав-Хмельницький район
574680808,О101705,Переяслав – Воскресенське – Мала Каратуль,ПЕРЕЯСЛАВ-ХМЕЛЬНИЦЬКИЙ -МАЛА КАРАТУЛЬ - ЧЕРЕЗ ВОСКРЕСIНСЬКЕ,6.4,Переяслав-Хмельницький район
574680809,О101706,Обхід станції Переяславської,ОБХIД СТАНЦIЇ ПЕРЕЯСЛАВСЬКОЇ,2.3,Переяслав-Хмельницький район
574680810,О101707,Студеники – Соснова,СТУДЕНИКИ- СОСНОВА,14.1,Переяслав-Хмельницький район
574680811,О101708,Н-08 – Лецьки – Циблі,/Н-08/ - ЛЕЦЬКИ-ЦИБЛІ,2.6,Переяслав-Хмельницький район
574680812,О101709,Мала Каратуль – Пологи – Яненки,МАЛА КАРАТУЛЬ - ПОЛОГИ-ЯНЕНКИ,16.5,Переяслав-Хмельницький район
574680836,О101712,Соснова – Виповзки,СОСНОВА - ВИПОВЗКИ,14.9,Переяслав-Хмельницький район
574680837,О101713,Переяслав – Хмельницький – Добраничівка – М-03,ПЕРЕЯСЛАВ-ХМЕЛЬНИЦЬКИЙ-ДОБРАНИЧІВКА-/М-03/,48.8,"Переяслав-Хмельницький район,Яготинський район"
574680838,О101714,М-03 – Станція Переяславська,/М-03/- СТАНЦІЯ ПЕРЕЯСЛАВСЬКА,5.3,Переяслав-Хмельницький район
574681765,О101801,Королівка – Старі Соколи – Пироговичі,КОРОЛІВКА - СТАРI СОКОЛИ - ПИРОГОВИЧІ,45.0,"Іванківський район,Поліський район"
574681766,О101802,О101112 – Левковичі,/БУДА ПОЛІДАРІВСЬКА-СИДОРОВИЧІ/ - ЛЕВКОВИЧІ,15.5,Поліський район
574681767,О101803,Красятичі – Димарка – Поталіївка,КРАСЯТИЧІ - ПОТАЛІЇВКА ЧЕРЕЗ ДИМАРКА,17.7,"Іванківський район,Поліський район"
