ref,official_name,name,distance,district
С141712,Передільниця-Садковичі,Передільниця – Садковичі,26.2,Самбірський район;Самбірський район
С141413,Язи-Максимовичі,Язи – Максимовичі,5.9,Самбірський район
С140675,Надичі-Малі Підліски,Надичі – Малі Підліски,8.3,Львівський район
С140907,(Устя-Розвадів)-станція Миколаїв,С140923 – станція Миколаїв,1.5,Стрийський район
С141260,(Давидів-Товщів-Бібрка)-Селисько,С141212 – Селисько,1.0,Львівський район
С140417,Бійничі-(Нижанковичі-Стрий),Бійничі – Т-14-18,3.1,Дрогобицький район
С140849,(Київ-Чоп)-Великі Підліски,М-06 – Великі Підліски,2.5,Львівський район
С141031,Чижевичі-(Крисовичі-Княгиничі),Чижевичі – С141013,0.8,Яворівський район
С142038,Ставки-Лозина,Ставки – Лозина,5.5,Яворівський район
С140669,(Миколаїв-Бібрка)-Гутка,Т-14-25 – Гутка,0.8,Львівський район
С141830,(Київ-Чоп)-Пукеничі,М-06 – Пукеничі,2.2,Стрийський район
С140732,Сасів-Побіч-з під'їздом до кар'єру,Сасів – Побіч – з під'їздом до кар'єру,5.9,Золочівський район
С142048,Дернаки-(Рава-Руська-Судова Вишня),Дернаки – Р-40,1.1,Яворівський район
С140633,Геруси-Мавдрики,Геруси – Мавдрики,1.3,Львівський район
С141116,Лани-Вілявче,Лани – Вілявче,7.0,Львівський район
С140601,Потелич-Липник-Річки,Потелич – Липник – Річки,28.0,Львівський район
С140649,(Потелич-Липник-Річки)-Забір'я,С140601 – Забір'я,1.6,Львівський район
С141311,Розжалів-Корчин,Розжалів – Корчин,10.0,Червоноградський район
С141803,Добрівляни-Добряни,Добрівляни – Добряни,3.8,Стрийський район
С140125,(Висоцьке-Гаї)-Боратин,С140141 – Боратин,1.5,Золочівський район
С140203,Буськ-Журатин-Безброди,Буськ – Журатин – Безброди,8.9,Золочівський район
С141826,Дашава-Йосиповичі,Дашава – Йосиповичі,2.9,Стрийський район
