ref,official_name,name,distance,district
С140544,Лучани-Ліщини,Лучани – Ліщини,0.9,Стрийський район
С140630,Станція Кам'янка-Волоська-(Львів-Рава-Руська),Станція Кам'янка – Волоська – М-09,1.0,Львівський район
С141701,Мігово-Добромиль,Мігово – Добромиль,7.5,Самбірський район
С140837,Сокіл-Желдець,Сокіл – Желдець,4.2,Львівський район
С140681,(Куликів-Великосілки)-Батівка,С140605 – Батівка,1.0,Львівський район
С141749,Нове Місто-Посада Новоміська,Нове Місто – Посада Новоміська,3.5,Самбірський район
С141619,Піддубне-(Червоноград-Рава-Руська),Піддубне – Р-15,2.9,Червоноградський район
С140824,Хренів-Убині,Хренів – Убині,1.0,Львівський район
С140674,Нагірці-Могиляни,Нагірці – Могиляни,4.3,Львівський район
С141813,Баня-Лисовицька-Лани-Соколівські,Баня – Лисовицька – Лани – Соколівські,14.3,Стрийський район
С141828,Подорожнє-Зарічне,Подорожнє – Зарічне,6.5,Стрийський район
С140411,Ортиничі-Биків,Ортиничі – Биків,4.5,Дрогобицький район
С140309,Угри-(Миколаїв-Бібрка),Угри – Т-14-25,1.9,Львівський район
С141059,Загороди-Кути,Загороди – Кути,1.0,Яворівський район
С140687,Куликів-Костеїв,Куликів – Костеїв,5.6,Львівський район
С141616,(Ковель-Жовква)-Межиріччя,Р-15 – Межиріччя,1.0,Червоноградський район
С141028,Підгать-Арламівська Воля,Підгать – Арламівська Воля,2.7,Яворівський район
С141421,Сприня-Підбуж,Сприня – Підбуж,1.6,Самбірський район
С140812,Банюнин-Убині,Банюнин – Убині,6.2,Львівський район
С140132,Панькова-Станіславчик,Панькова – Станіславчик,1.8,Золочівський район
С140302,"Родатичі-(Львів-Шегині)","Родатичі – М-11",0.5,Львівський район
С141428,Острів-Луки,Острів – Луки,4.3,Самбірський район
С140703,Золочів-Кропивна-Новосілки-Брюховичі,Золочів – Кропивна – Новосілки – Брюховичі,52.4,Золочівський район;Львівський район
С141132,Чемеринці-Гуральня,Чемеринці – Гуральня,3.1,Львівський район
С141831,Братківці-Пила,Братківці – Пила,6.1,Стрийський район
С141725,Ясениця Замкова-Піцарево,Ясениця Замкова – Піцарево,4.1,Самбірський район
С140414,(Східниця-Пісочна)-Довге,Т-14-02 – Довге,2.2,Дрогобицький район
С140315,Кліцько-Заболоття,Кліцько – Заболоття,2.2,Львівський район
С140680,(Туринка-Батятичі)-Білий Ліс,С140604 – Білий Ліс,3.5,Львівський район
С141328,Пустельники-Нивиці,Пустельники – Нивиці,7.6,Червоноградський район
С141937,Нижнє Гусине-Кривка,Нижнє Гусине – Кривка,4.4,Самбірський район
С140207,Задвір'я-Балучин,Задвір'я – Балучин,9.3,Золочівський район
С141310,Лопатин-Березівка,Лопатин – Березівка,10.4,Червоноградський район
С141527,Святослав-Коростів,Святослав – Коростів,3.1,Стрийський район
С140102,Кути-Бордуляки,Кути – Бордуляки,8.9,Золочівський район
С141053,Гусаків-Гориславичі,Гусаків – Гориславичі,2.4,Яворівський район
С141523,(Східниця-Верхнє Синьовидне)-Крушельниця,О140406 – Крушельниця,2.5,Стрийський район
С142021,Новини-Старий Яр,Новини – Старий Яр,3.2,Яворівський район
С141307,Радехів-Дмитрів,Радехів – Дмитрів,5.9,Червоноградський район
С140135,Накваша-Попівці-Підкамінь,Накваша – Попівці – Підкамінь,12.5,Золочівський район
С141743,Топільниця-Недільна,Топільниця – Недільна,6.4,Самбірський район
С140836,Константинівка-Зубів Міст,Константинівка – Зубів Міст,1.0,Львівський район
С142024,Воля-Старицька-Старичі,Воля – Старицька – Старичі,1.4,Яворівський район
С141711,Дроздовичі-Міженець-Бісковичі,Дроздовичі – Міженець – Бісковичі,31.0,Самбірський район
С140208,Новосілки-Красне,Новосілки – Красне,14.6,Золочівський район
С140534,Луковець-Журавне,Луковець – Журавне,4.4,Стрийський район
С141249,(Мукачеве-Львів)-Давидів,Н-09 – Давидів,0.5,Львівський район
С141515,Славське-Вигода,Славське – Вигода,22.3,Стрийський район
С140611,Великі Грибовичі-Дубляни,Великі Грибовичі – Дубляни,5.0,Львівський район
С140332,Кліцько-Підзвіринець-Грімно,Кліцько – Підзвіринець – Грімно,12.1,Львівський район
С141238,Поршна-Липники,Поршна – Липники,3.8,Львівський район
С141207,Пустомити-Містки,Пустомити – Містки,6.3,Львівський район
О141805,Під'їзд до м.Моршин,Під'їзд до м.Моршин,6.4,Стрийський район
С141806,Стрий-Заплатин,Стрий – Заплатин,4.9,Стрийський район
С141008,Мостиська Перші-(Львів-Шегині),Мостиська Перші – М-11,2.2,Яворівський район
С141748,Підмостичі-Трушевичі,Підмостичі – Трушевичі,1.0,Самбірський район
С141915,Красне-Мохнате,Красне – Мохнате,5.5,Стрийський район
С140126,Микити-(Накваша-Попівці-Підкамінь),Микити – С140135,1.7,Золочівський район
С140632,Хитрейки-Кунин,Хитрейки – Кунин,4.1,Львівський район
С140237,Новий Ріпнів-Кудир'явці,Новий Ріпнів – Кудир'явці,9.4,Золочівський район
С140525,Вільхівці-Волиця-Гніздичівська -Пчани,Вільхівці – Волиця – Гніздичівська – Пчани,6.9,Стрийський район
С141632,Забужжя-(Сокаль-Червоноград),Забужжя – О141607,1.5,Червоноградський район
О141902,Турка-Східниця,Турка – Східниця,38.9,Дрогобицький район;Самбірський район
С140825,(Миколаїв-Бібрка)-Тадані,Т-14-25 – Тадані,2.0,Львівський район
С141242,(Київ-Чоп)-Гаї-Острів,М-06 – Гаї – Острів,14.8,Львівський район
С140634,(Львів-Рава-Руська)-Березина,М-09 – Березина,2.7,Львівський район
С140127,Шпаки-(Накваша-Попівці-Підкамінь),Шпаки – С140135,1.6,Золочівський район
С141142,(Куровичі-Рогатин)-Залип'я,Т-14-17 – Залип'я,1.1,Львівський район
О141003,Мостиська-Краковець,Мостиська – Краковець,19.1,Яворівський район
С141653,Двірці-Заріка,Двірці – Заріка,0.5,Червоноградський район
С141936,Нижнє Гусине-Верхнє Гусине,Нижнє Гусине – Верхнє Гусине,7.5,Самбірський район
С140683,Зашків-Зарудці,Зашків – Зарудці,2.6,Львівський район
С141642,Жвирка-Завишень,Жвирка – Завишень,2.6,Червоноградський район
С140536,Журавне-Маринка-Тернавка,Журавне – Маринка – Тернавка,10.1,Стрийський район
С141919,(Львів-Ужгород)-Явора,Н-13 – Явора,1.2,Самбірський район
С141816,Миртюки-Розгірче,Миртюки – Розгірче,20.4,Стрийський район
С141804,Стрий-Добрівляни,Стрий – Добрівляни,3.8,Стрийський район
С141048,(Мостиська-Дидятичі)-Санники,С141003 – Санники,1.3,Яворівський район
С141648,Жовтневе-Белз,Жовтневе – Белз,1.8,Червоноградський район
С141424,Блажів-Черхава,Блажів – Черхава,8.0,Самбірський район
С140617,Любеля-Туринка,Любеля – Туринка,11.9,Львівський район
С141102,Бібрка-Добряничі,Бібрка – Добряничі,23.9,Львівський район
С140709,Ремезівці-Сновичі,Ремезівці – Сновичі,1.5,Золочівський район
С140641,Завади-Воля-Висоцька,Завади – Воля – Висоцька,2.0,Львівський район
С140755,Папірня-Сасів,Папірня – Сасів,0.9,Золочівський район
С142022,Середина-Вороблячин,Середина – Вороблячин,1.5,Яворівський район
С141931,Завадівка-Мельничне,Завадівка – Мельничне,4.8,Самбірський район
С140813,Цеперів-Старий Яричів,Цеперів – Старий Яричів,3.9,Львівський район
С140428,Новошичі-Ріпчиці,Новошичі – Ріпчиці,29.2,Дрогобицький район
С141338,Новоставці-Березівка,Новоставці – Березівка,1.3,Червоноградський район
С141635,(Шарпанці-Тартаків)-Борки,С141611 – Борки,1.0,Червоноградський район
О140101,Броди-Сморжів,Броди – Сморжів,29.7,Золочівський район;Червоноградський район
С141216,Винники-Чишки,Винники – Чишки,5.1,Львівський район
С140839,Липники-Батятичі,Липники – Батятичі,2.1,Львівський район
С140215,Кути-Олесько,Кути – Олесько,2.9,Золочівський район
С140915,Горішнє-Долішнє-Станківці,Горішнє – Долішнє – Станківці,3.2,Стрийський район
С141032,Ніговичі-Кропильники,Ніговичі – Кропильники,3.5,Яворівський район
С140670,Малі Передримихи-(Миколаїв-Бібрка),Малі Передримихи – Т-14-25,2.0,Львівський район
С142027,(Львів-Краковець)-Роснівка,М-10 – Роснівка,2.8,Яворівський район
С140514,Соколівка-Сенів,Соколівка – Сенів,1.2,Львівський район
С141302,Поздимир-Яструбичі-Корчин,Поздимир – Яструбичі – Корчин,11.0,Червоноградський район
С140431,Городківка-Літиня,Городківка – Літиня,4.8,Дрогобицький район
С141018,Бортятин-Довгомостиська,Бортятин – Довгомостиська,5.2,Яворівський район
С140530,Руда-Махлинець,Руда – Махлинець,7.8,Стрийський район
С140429,Снятинка-Рихтичі,Снятинка – Рихтичі,6.1,Дрогобицький район
С140213,Чаниж-Заводське,Чаниж – Заводське,5.5,Золочівський район
С141408,Дубляни-Велика Озимина,Дубляни – Велика Озимина,2.6,Самбірський район
С140938,Берездівці-Підгірці,Берездівці – Підгірці,1.9,Стрийський район
С140116,Стиборівка-(Броди-Тернопіль),Стиборівка – Р-39,1.5,Золочівський район
С140223,Підставки-Боложинів,Підставки – Боложинів,1.1,Золочівський район
С141917,(Львів-Ужгород)-Мала Волосянка,Н-13 – Мала Волосянка,1.5,Самбірський район
С141337,Руденко-Хмільно,Руденко – Хмільно,2.2,Червоноградський район
С140656,(Львів-Рава-Руська)-Загір'я,М-09 – Загір'я,0.4,Львівський район
С140112,Пониква-Орани,Пониква – Орани,1.8,Золочівський район
С141927,Свидник-Ластівка,Свидник – Ластівка,2.0,Дрогобицький район
С141744,(Дроздовичі-Міженець-Бісковичі)-Вілюничі,С141711 – Вілюничі,1.1,Самбірський район
С140653,Матвин-Бабкани,Матвин – Бабкани,1.2,Львівський район
С141047,Биків-Гусаків,Биків – Гусаків,5.3,Яворівський район
С141058,Соколя-Максимці,Соколя – Максимці,1.6,Яворівський район
С140548,Ходорів-Молодинче-Вербиця,Ходорів – Молодинче – Вербиця,20.6,Стрийський район
С141140,Дунаїв-Тернівка,Дунаїв – Тернівка,0.8,Львівський район
С140113,(Київ-Чоп)-Сухота,М-06 – Сухота,2.5,Золочівський район
С140401,Сторона-Підбуж,Сторона – Підбуж,3.7,Дрогобицький район
С140506,Борусів-(Вибранівка-Отиневичі),Борусів – С140547,2.3,Стрийський район
С141006,Годині-Мишлятичі,Годині – Мишлятичі,11.1,Яворівський район
С140686,Чорний Луг-Зарудці,Чорний Луг – Зарудці,1.4,Львівський район
С141762,Плоске-(Мшанець-Стрілки),Плоске – С141704,2.0,Самбірський район
С140421,Дрогобич-Тустановичі,Дрогобич – Тустановичі,6.4,Дрогобицький район
С141004,Воля-Садківська-Малі Мокряни,Воля – Садківська – Малі Мокряни,14.5,Яворівський район
С141734,Дністрик-Ріп'яна,Дністрик – Ріп'яна,2.0,Самбірський район
С141030,Садковичі-Ятвяги,Садковичі – Ятвяги,0.6,Яворівський район
С140905,Гонятичі-(Київ-Чоп),Гонятичі – М-06,9.1,Стрийський район
С140750,(Перемишляни-Чемеринці-Плугів)-Махнівці,О141102 – Махнівці,2.0,Золочівський район
С141439,Кропильники-Ваньковичі,Кропильники – Ваньковичі,2.8,Самбірський район
С141325,Нестаничі-Вузлове,Нестаничі – Вузлове,5.5,Червоноградський район
С141416,Рудки-Хлопчиці-(Львів-Ужгород),Рудки – Хлопчиці – Н-13,7.1,Самбірський район
С141510,Нижнє Синьовидне-Кам'янка,Нижнє Синьовидне – Кам'янка,14.9,Стрийський район
С140720,Лісове-Зашків,Лісове – Зашків,2.7,Золочівський район
С140820,Кукезів-Цеперів,Кукезів – Цеперів,2.5,Львівський район
С141941,Зворець-Буковинка,Зворець – Буковинка,2.0,Самбірський район
С141042,Заріччя-(Львів-Шегині),Заріччя – М-11,3.2,Яворівський район
С140222,Заболотне-(Стовпин-Гумниська),Заболотне – С140214,1.1,Золочівський район
С140668,Крута Долина-Липники,Крута Долина – Липники,3.6,Львівський район
С141145,Іванівка-Яблунів,Іванівка – Яблунів,1.6,Львівський район
С140405,Новий Кропивник-Перепростиня,Новий Кропивник – Перепростиня,2.7,Дрогобицький район
С141513,Завадка-Задільське,Завадка – Задільське,9.9,Стрийський район
С142002,Віжомля-Прилбичі,Віжомля – Прилбичі,13.8,Яворівський район
С141943,Ільник-Ліктів,Ільник – Ліктів,2.5,Самбірський район
С140908,Крупське-Розділ,Крупське – Розділ,6.9,Стрийський район
С142034,Наконечне-Гостинцеве,Наконечне – Гостинцеве,20.5,Яворівський район
С140751,Торгів-Богутин,Торгів – Богутин,4.2,Золочівський район
С141043,Берегове-Королин,Берегове – Королин,2.1,Яворівський район
С141728,Солянуватка-(Нижанковичі-Стрий),Солянуватка – Т-14-18,0.5,Самбірський район
С141141,Тучне-Прибинь,Тучне – Прибинь,3.0,Львівський район
С141305,Радехів-Мукані,Радехів – Мукані,10.6,Червоноградський район
С141763,Оленів-Стрілки,Оленів – Стрілки,2.3,Самбірський район
О141603,Сокаль-Бояничі,Сокаль – Бояничі,5.7,Червоноградський район
С141433,Шептичі-Михайлевичі,Шептичі – Михайлевичі,3.2,Самбірський район
С140124,Пониковиця-Голосковичі,Пониковиця – Голосковичі,4.1,Золочівський район
С141212,Давидів-Товщів-Бібрка,Давидів – Товщів – Бібрка,24.0,Львівський район
С141716,Трушевичі-(Нижанковичі-Стрий),Трушевичі – Т-14-18,3.4,Самбірський район
С142004,(Рава-Руська-Судова Вишня)-Терновиця,Р-40 – Терновиця,6.7,Яворівський район
С141432,Загір'я-(Никловичі-Задністряни),Загір'я – С141405,2.6,Самбірський район
С140730,Сновичі-Красносільці,Сновичі – Красносільці,3.6,Золочівський район
С141920,Комарники-Закичера,Комарники – Закичера,2.4,Самбірський район
С140818,(Львів-Луцьк)-Жовтанці,Н-17 – Жовтанці,2.2,Львівський район
С141320,Волиця-Барилова-Куликів,Волиця – Барилова – Куликів,5.0,Червоноградський район
С140705,Бортків-Скварява,Бортків – Скварява,11.7,Золочівський район
С142001,Немирів-Грині-Середкевичі,Немирів – Грині – Середкевичі,20.4,Яворівський район
С140657,Пирятин-Гараєць,Пирятин – Гараєць,7.1,Львівський район
О141103,"Бережани-Нараїв-Брюховичі,","Бережани – Нараїв – Брюховичі,",12.0,Львівський район
С141822,Голобутів-Нежухів,Голобутів – Нежухів,3.1,Стрийський район
С140925,Розвадів-(Київ-Чоп),Розвадів – М-06,1.2,Стрийський район
С141257,Шуфраганка-Сердиця,Шуфраганка – Сердиця,2.2,Львівський район
С141649,(Червоноград-Рава-Руська)-Хлівчани,Р-15 – Хлівчани,8.9,Червоноградський район
С141634,Ромош-(Сокаль-Перетоки),Ромош – О141604,1.3,Червоноградський район
С141921,Завадівка-Лосинець,Завадівка – Лосинець,1.3,Самбірський район
С141418,Городище-Східниця,Городище – Східниця,26.5,Дрогобицький район;Самбірський район
С141739,Стара Ропа-Тварі,Стара Ропа – Тварі,3.2,Самбірський район
С141009,Твіржа-Волостків,Твіржа – Волостків,11.7,Яворівський район
С141148,Подусільна-Рівна,Подусільна – Рівна,1.0,Львівський район
С140726,Почапи-Жуличі,Почапи – Жуличі,2.7,Золочівський район
С140526,Підліски-Новосільці,Підліски – Новосільці,2.3,Стрийський район
С140137,Мамчурі-Ясенів,Мамчурі – Ясенів,22.3,Золочівський район
С140424,Нагуєвичі-Лішня,Нагуєвичі – Лішня,11.2,Дрогобицький район
С140603,Жовква-Мокротин-Сулимів,Жовква – Мокротин – Сулимів,17.0,Львівський район
С141829,(Київ-Чоп)-Луг,М-06 – Луг,5.2,Стрийський район
С140551,Квітневе-Баківці,Квітневе – Баківці,2.5,Львівський район
С141138,(Перемишляни-Чемеринці-Плугів)-Курний,О141102 – Курний,1.0,Львівський район
С140832,Сілець-Долина,Сілець – Долина,1.0,Червоноградський район
С142013,Черчик-Оселя-Дернаки,Черчик – Оселя – Дернаки,16.5,Яворівський район
С140847,Честині-Печихвости,Честині – Печихвости,2.4,Львівський район
С141429,Мала Озимина-Велика Озимина,Мала Озимина – Велика Озимина,2.1,Самбірський район
С141027,Піхи-Рожаки,Піхи – Рожаки,0.8,Яворівський район
С141730,Нижанковичі-Библо,Нижанковичі – Библо,7.7,Самбірський район
С142042,Лелехівка-Івано-Франкове,Лелехівка – Івано – Франкове,4.9,Яворівський район
С141754,(Мігово-Добромиль)-Велике,С141701 – Велике,2.2,Самбірський район
С140731,Чижів-(Перемишляни-Чемеринці-Плугів),Чижів – О141102,1.3,Золочівський район
С141427,Бабина-Пиняни,Бабина – Пиняни,3.1,Самбірський район
С140228,Лісове-Гутисько-Тур'янське,Лісове – Гутисько-Тур'янське,2.7,Золочівський район
С141721,Торчиновичі-(Львів-Ужгород),Торчиновичі – Н-13,0.5,Самбірський район
С140733,Зозулі-Козаки,Зозулі – Козаки,4.2,Золочівський район
С141023,(Нагірне-Добромиль)-Тамановичі,О141002 – Тамановичі,2.7,Яворівський район
С140106,Лісове-Піски,Лісове – Піски,3.4,Золочівський район
С140328,Мшана-Суховоля,Мшана – Суховоля,3.7,Львівський район
С141532,Верхнячка-Лази,Верхнячка – Лази,2.5,Стрийський район
С140901,Миколаїв-Прийма,Миколаїв – Прийма,1.4,Стрийський район
С141021,Заверхи-Черневе,Заверхи – Черневе,5.2,Яворівський район
С140619,Воля-Висоцька-Глинськ,Воля – Висоцька – Глинськ,2.3,Львівський район
С141119,Виписки-Пнятин,Виписки – Пнятин,3.1,Львівський район
С141760,Великосілля-Мала Лінина,Великосілля – Мала Лінина,3.9,Самбірський район
С141322,Оглядів-Монастирок-Оглядівський,Оглядів – Монастирок – Оглядівський,3.7,Червоноградський район
С141405,Никловичі-Задністряни,Никловичі – Задністряни,25.5,Самбірський район
С141245,Борщовичі-Нижня Білка,Борщовичі – Нижня Білка,2.5,Львівський район
С141647,(Комарів-Переспа)-Волиця,С141604 – Волиця,3.1,Червоноградський район
С141613,Стаївка-Пристань,Стаївка – Пристань,21.7,Червоноградський район
С141615,Сілець-Соснівка,Сілець – Соснівка,4.0,Червоноградський район
С140122,Велин-Вовковатиця,Велин – Вовковатиця,2.6,Золочівський район
С140748,Косичі-Підгайчики,Косичі – Підгайчики,1.4,Львівський район
С141629,Гута-Савчин,Гута – Савчин,2.6,Червоноградський район
С141124,Вишнівчик-Камінна,Вишнівчик – Камінна,2.5,Львівський район
С140815,Желдець-Воля-Жовтанецька,Желдець – Воля – Жовтанецька,6.9,Львівський район
С141528,Ростоки-Орявчик,Ростоки – Орявчик,1.5,Стрийський район
О140102,Броди-Соколівка,Броди – Соколівка,23.8,Золочівський район
С140117,(Броди-Тернопіль)-Кутище,Р-39 – Кутище,2.9,Золочівський район
С140924,станція Миколаїв-(Київ-Чоп),станція Миколаїв – М-06,2.6,Стрийський район
С141223,Сокільники-Західний обхід м.Львова,Сокільники – Західний обхід м.Львова,0.8,Львівський район
С141448,(Львів-Ужгород)-Хатки,Н-13 – Хатки,1.8,Самбірський район
С140627,Борове-Рава-Руська,Борове – Рава – Руська,5.2,Львівський район
С140607,Пили-Замочок,Пили – Замочок,5.6,Львівський район
С140718,Опаки-Хмелева,Опаки – Хмелева,5.3,Золочівський район
С140433,Рихтичі-Михайлевичі,Рихтичі – Михайлевичі,4.3,Дрогобицький район
С140216,Чучмани-Сторонибаби,Чучмани – Сторонибаби,8.6,Золочівський район
С141766,Ясениця-Замкова-Велика Волосянка,Ясениця – Замкова – Велика Волосянка,4.9,Самбірський район
С140435,Меденичі-Летня,Меденичі – Летня,4.7,Дрогобицький район
С140205,Буськ-Соколя,Буськ – Соколя,13.7,Золочівський район
О140502,Жидачів-Верчани,Жидачів – Верчани,20.5,Стрийський район
С142029,(Наконечне-Гостинцеве)-Іваники,С142034 – Іваники,2.0,Яворівський район
С141330,(Броди-Сморжів)-Саджалка,О140101 – Саджалка,1.4,Червоноградський район
С141252,Жирівка-Вовків,Жирівка – Вовків,1.0,Львівський район
О141901,Турка-Лопушанка,Турка – Лопушанка,26.5,Самбірський район
С141225,Виннички-Давидів,Виннички – Давидів,5.3,Львівський район
С141039,Колодків-Соколя,Колодків – Соколя,5.8,Яворівський район
С141128,Підвисоке-Кимир,Підвисоке – Кимир,2.6,Львівський район
С140432,Воля-Добрівляни,Воля – Добрівляни,6.3,Дрогобицький район
С141422,Бісковичі-(Мостиська-Борислав),Бісковичі – Т-14-15,6.0,Самбірський район
С140527,Черемхів-(Ходорів-Молодинче-Вербиця),Черемхів – С140548,0.7,Стрийський район
С140753,(Рівне-Млинів-Берестечко-Буськ-Перемишляни)-Мазів,Т-18-06 – Мазів,0.4,Львівський район
С141820,Ланівка-Райлів,Ланівка – Райлів,7.8,Стрийський район
С141509,Ямельниця-Крушельниця,Ямельниця – Крушельниця,4.3,Стрийський район
С142020,(Яворів-Грушів)-Лісок,Т-14-20 – Лісок,1.0,Яворівський район
С141643,Тартаків-Романівка,Тартаків – Романівка,3.6,Червоноградський район
С140510,Бережниця-Йосиповичі,Бережниця – Йосиповичі,14.7,Стрийський район
С141229,Липники-Милятичі,Липники – Милятичі,8.6,Львівський район
С140507,Піддністряни-Рудківці-Жирова,Піддністряни – Рудківці – Жирова,10.5,Стрийський район
С140728,(Золочів-Кропивник-Новосілки-Брюховичі)-Коропчик,С140703 – Коропчик,1.0,Золочівський район
С140550,Мельнич-Чертіж,Мельнич – Чертіж,13.5,Стрийський район
С140740,Копані-(Городилів-Обертасів),Копані – С140717,2.0,Золочівський район
С141329,Колісники-(Рівне-Перемишляни),Колісники – Т-18-06,1.8,Червоноградський район
С141321,Увин-(Синьків-Стремільче),Увин – С141309,3.1,Червоноградський район
С140723,Об'їзд с.Білий Камінь,Об'їзд с.Білий Камінь,1.5,Золочівський район
С140713,Поморяни-Кальне,Поморяни – Кальне,0.9,Золочівський район
С140335,Думанів-Суховоля,Думанів – Суховоля,4.5,Львівський район
С141811,Угерсько-Кути,Угерсько – Кути,10.9,Стрийський район
С141504,(Київ-Чоп)-Межиброди,М-06 – Межиброди,1.3,Стрийський район
С141222,(Львів-Тернопіль)-Під'ярків,Н-02 – Під'ярків,6.6,Львівський район
С140615,Пристань-В'язова,Пристань – В'язова,16.0,Львівський район
С140848,(Львів-Луцьк)-Печихвости-Велике Колодно,Н-17 – Печихвости – Велике Колодно,6.3,Львівський район
С140828,Стрептів-Деревляни-Спас,Стрептів – Деревляни – Спас,10.8,Львівський район
С141641,Матів-Смиків,Матів – Смиків,1.0,Червоноградський район
С141101,Шопки-Станимир-Ганачівка,Шопки – Станимир – Ганачівка,11.6,Львівський район
С140714,Хильчиці-Ясенівці,Хильчиці – Ясенівці,2.2,Золочівський район
С140226,Баймаки-(Гутисько-Тур'янське-Почапи),Баймаки – С140202,1.7,Золочівський район
С140441,Нове Село-Болехівці,Нове Село – Болехівці,3.2,Дрогобицький район
С141441,(Львів-Ужгород)-Долобів,Н-13 – Долобів,6.5,Самбірський район
С142023,Рішин-(Середина-Вороблячин),Рішин – С142022,1.3,Яворівський район
С140231,Лісове-Горбачі,Лісове – Горбачі,2.8,Золочівський район
С140128,Загірці-Підгірці,Загірці – Підгірці,3.3,Золочівський район
С141236,Семенівка-Хоросно,Семенівка – Хоросно,8.5,Львівський район
С140519,Прибілля-Грусятичі,Прибілля – Грусятичі,7.5,Стрийський район
С140717,Городилів-Обертасів,Городилів – Обертасів,11.2,Золочівський район
С141309,Синьків-Стремільче,Синьків – Стремільче,20.6,Червоноградський район
С141753,Кропивник-Княжпіль,Кропивник – Княжпіль,3.9,Самбірський район
С140846,Грабовець-Загаї-Жовтанці,Грабовець – Загаї – Жовтанці,3.7,Львівський район
С141940,Буковинка-Закичера,Буковинка – Закичера,1.0,Самбірський район
С141835,Долішнє-Горішнє,Долішнє – Горішнє,3.8,Стрийський район
С141045,Дмитровичі-Кульматичі,Дмитровичі – Кульматичі,3.7,Яворівський район
С140929,(Київ-Чоп)-Бродки,М-06 – Бродки,1.5,Стрийський район
С140814,Сілець-(Львів-Луцьк),Сілець – Н-17,3.5,Червоноградський район
С141335,Батиїв-Кустин,Батиїв – Кустин,6.5,Червоноградський район
С140746,(Львів-Тернопіль)-Митулин,Н-02 – Митулин,0.9,Золочівський район
С141815,Ходовичі-Лани Соколівські,Ходовичі – Лани Соколівські,17.7,Стрийський район
С140333,Шоломиничі-Вигодівка,Шоломиничі – Вигодівка,3.0,Львівський район
С140241,Кізлів-Думниця,Кізлів – Думниця,2.0,Золочівський район
С141261,Лани-Попеляни-Черкаси в т.ч. під'їзд до с.Попеляни,Лани – Попеляни – Черкаси в т.ч. під'їзд до с.Попеляни,6.0,Львівський район
С141602,Белз-Ванів-Острів,Белз – Ванів – Острів,11.1,Червоноградський район
С140626,Сопошин-Мацошин,Сопошин – Мацошин,3.7,Львівський район
С140211,Красне-Утішків,Красне – Утішків,4.1,Золочівський район
С141717,Чаплі-Павлівка,Чаплі – Павлівка,3.6,Самбірський район
С140819,Дальнич-Сапіжанка,Дальнич – Сапіжанка,8.9,Львівський район
С140204,Буськ-Ракобовти,Буськ – Ракобовти,5.8,Золочівський район
С141646,(Борятин-Добрячин)-Рудка,С141630 – Рудка,1.3,Червоноградський район
С140324,Підзвіринець-Грабине,Підзвіринець – Грабине,3.0,Львівський район
С140314,Косівець-Бірче,Косівець – Бірче,1.6,Львівський район
С140752,Поморяни-Кульби,Поморяни – Кульби,4.5,Золочівський район
С141750,Ракова-Надиби,Ракова – Надиби,7.6,Самбірський район
С141901,Либохора-Верхнє Висоцьке,Либохора – Верхнє Висоцьке,10.7,Самбірський район
С141218,станція Підбірці-(Львів-Сухоріччя),станція Підбірці – С141203,1.0,Львівський район
С141758,Завадка-Сушиця,Завадка – Сушиця,1.3,Самбірський район
С141404,Колбаєвичі-Конюшки-Королівські,Колбаєвичі – Конюшки – Королівські,10.8,Самбірський район
С140436,Доброгостів-Бистрий,Доброгостів – Бистрий,2.5,Дрогобицький район
С141143,Вишнівчик-Лонівка,Вишнівчик – Лонівка,2.0,Львівський район
С141425,Красниця-(Вербівка-Бісковичі),Красниця – С141442,1.2,Самбірський район
С141210,Муроване-Новий Яричів,Муроване – Новий Яричів,18.1,Львівський район
С141732,(Дроздовичі-Міженець-Бісковичі)-Дроздовичі,С141711 – Дроздовичі,1.3,Самбірський район
С141139,Мерещів-Добряничі,Мерещів – Добряничі,8.0,Львівський район
С141606,Скоморохи-Роятин,Скоморохи – Роятин,6.0,Червоноградський район
С141517,(Київ-Чоп)-Сможе,М-06 – Сможе,5.9,Стрийський район
С140821,Дідилів-(Київ-Чоп),Дідилів – М-06,2.0,Львівський район
С141263,(Львів-Меденичі)-Семенівка,Т-14-16 – Семенівка,1.6,Львівський район
С141105,(Куровичі-Рогатин)-Бачів,Т-14-17 – Бачів,5.0,Львівський район
С140650,Гійче-Мельники-Луг,Гійче – Мельники – Луг,2.2,Львівський район
С140921,Рівне-Більче,Рівне – Більче,1.0,Стрийський район
С141437,Круковець-Погірці,Круковець – Погірці,7.7,Самбірський район
С141913,Мала Волосянка-Явора,Мала Волосянка – Явора,8.0,Самбірський район
С140738,Верхобуж-Колтів,Верхобуж – Колтів,3.5,Золочівський район
С141525,Корчин-Дубина,Корчин – Дубина,4.3,Стрийський район
С141518,(Славське-Вигода)-Верхня Рожанка,С141515 – Верхня Рожанка,2.0,Стрийський район
С140310,(Городок-Лісна)-Дроздовичі,С140307 – Дроздовичі,1.2,Львівський район
С141231,(Львів-Сухоріччя)-Лисиничі,С141203 – Лисиничі,1.3,Львівський район
С140638,Кунин-Бір-Кунинський,Кунин – Бір – Кунинський,5.0,Львівський район
О141903,Бориня-Мохнате,Бориня – Мохнате,30.3,Самбірський район;Стрийський район
С140442,(Нижанковичі-Стрий)-Верхні Гаї,Т-14-18 – Верхні Гаї,1.5,Дрогобицький район
